Max,Average,Min
17.668085,8.286667,-0.157763
14.532358,6.618785,-0.557763
14.332357,6.480663,-0.957763
14.132357,6.359116,-1.357763
14.000485,6.237569,-1.757763
16.635632,6.132597,-2.157763
13.800485,5.939560,-2.557763
13.700484,5.785714,-2.957762
13.600484,5.670330,-3.357762
17.117813,5.565934,-3.757761
13.400483,5.371585,-4.057761
13.300483,5.224044,-4.357761
13.200482,5.054645,-4.657761
13.100482,4.923497,-5.057760
13.000482,4.808743,-5.357760
12.900481,4.677596,-5.757760
12.800481,4.491803,-6.057759
12.700480,4.311475,-6.457759
12.600480,4.218579,-6.757759
12.500480,4.054645,-7.157758
12.400479,3.885246,-7.557758
12.300479,3.743169,-7.957757
12.200479,3.568306,-8.257758
12.100478,3.442623,-8.657760
12.000478,3.338798,-8.957761
11.900477,3.202186,-9.257762
11.800477,3.038251,-9.557763
11.700477,2.846995,-9.857764
11.600476,2.737705,-10.157765
11.500476,2.595628,-10.457767
11.481377,2.448087,-10.757768
11.481377,2.284153,-11.057769
11.481377,2.125683,-11.357770
11.481377,2.016393,-11.657771
11.481377,1.907104,-11.957772
11.481377,1.770492,-12.257773
11.481377,1.650273,-12.557775
11.481377,1.486339,-12.857776
11.481377,1.415301,-13.157777
11.481377,1.327869,-13.457778
11.481377,1.218579,-13.757779
11.481377,1.131148,-14.057780
11.481377,1.065574,-14.357781
11.481377,0.994536,-14.657783
11.481377,0.890710,-14.984112
11.481377,0.797814,-15.384113
11.481377,0.672131,-15.784115
11.481377,0.502732,-16.184116
11.481377,0.404372,-16.584118
11.481377,0.289617,-16.984119
11.481377,0.163934,-17.384121
11.481377,0.076503,-17.784122
11.481377,-0.005464,-18.184124
11.481377,-0.065574,-18.584126
11.481377,-0.158470,-18.984127
11.481377,-0.251366,-19.384129
11.481377,-0.382514,-19.784130
11.481377,-0.568306,-20.184132
11.481377,-0.710383,-20.584133
11.481377,-0.836066,-20.984135
11.481377,-0.972678,-21.384136
11.481377,-1.131148,-21.784138
11.481377,-1.295082,-22.184139
11.481377,-1.415301,-22.584141
11.481377,-1.546448,-22.984142
11.481377,-1.699454,-23.384144
11.481377,-1.841530,-23.784145
11.481377,-2.032787,-24.184147
11.481377,-2.142077,-24.584148
11.481377,-2.300546,-24.984150
11.481377,-2.459016,-25.384151
11.481377,-2.595628,-25.784153
11.481377,-2.759563,-26.184155
11.481377,-2.879781,-26.584156
11.481377,-2.978142,-26.984158
11.481377,-3.120219,-27.384159
11.481377,-3.278689,-27.784161
11.481377,-3.459016,-28.184162
11.481377,-3.573770,-28.584164
11.481377,-3.715847,-28.984165
11.481377,-3.879781,-29.384167
11.481377,-4.032787,-29.784168
11.481377,-4.202186,-30.184170
11.481377,-4.322404,-30.584171
11.481377,-4.459016,-30.984173
11.481377,-4.601093,-31.384174
11.481377,-4.748634,-31.784176
11.481377,-4.928962,-32.184174
11.481377,-5.049180,-32.584167
11.481377,-5.202186,-32.984161
11.481377,-5.349727,-33.384155
11.481377,-5.502732,-33.784149
11.481377,-5.655738,-34.184143
11.481377,-5.797814,-34.584137
11.481377,-5.945355,-34.984131
11.481377,-6.076503,-35.384125
11.481377,-6.229508,-35.784119
11.481377,-6.398907,-36.184113
11.481377,-6.508197,-36.584106
11.481377,-6.655738,-36.984100
11.481377,-6.830601,-37.384094
11.481377,-6.983607,-37.784088
11.481377,-7.136612,-38.184082
11.481377,-7.262295,-38.584076
11.481377,-7.393443,-38.984070
11.481377,-7.540984,-39.384064
11.481377,-7.677596,-39.784058
11.481377,-7.879781,-40.184052
11.704430,-7.961749,-40.584045
11.604429,-8.103825,-40.984039
11.504429,-8.245902,-41.384033
11.481377,-8.404372,-41.784027
11.481377,-8.573770,-42.184021
11.481377,-8.699454,-42.584015
11.481377,-8.836066,-42.984009
11.481377,-8.967213,-43.384003
11.481377,-9.131148,-43.783997
11.481377,-9.311475,-44.183990
11.481377,-9.442623,-44.583984
11.481377,-9.584699,-44.983978
11.481377,-9.721311,-45.383972
11.481377,-9.874317,-45.783966
11.481377,-10.038251,-46.183960
11.481377,-10.185792,-46.583954
11.481377,-10.295082,-46.983948
11.481377,-10.415301,-47.383942
11.481377,-10.584699,-47.783936
11.481377,-10.781421,-48.183929
11.481377,-10.907104,-48.583923
11.481377,-11.038251,-48.983917
11.481377,-11.207650,-49.383911
11.481377,-11.333333,-49.783905
13.504417,-11.459016,-50.183899
13.404417,-11.401099,-49.492390
13.304417,-11.521978,-49.892384
13.204416,-11.637363,-50.292377
12.804415,-11.591160,-48.747734
12.604414,-11.790055,-49.147728
12.504414,-11.906077,-49.547722
12.404413,-12.033149,-49.947716
12.304413,-12.182320,-50.347710
12.204412,-12.122222,-47.902042
12.104412,-12.272222,-48.302036
12.004412,-12.405556,-48.702030
11.904411,-12.538889,-49.102024
11.804411,-12.661111,-49.502018
11.704411,-12.816667,-49.902012
11.604410,-13.000000,-50.302006
11.504410,-12.888268,-49.557579
11.481377,-13.016760,-49.857574
11.481377,-13.178771,-50.157570
11.481377,-13.117978,-48.354946
11.481377,-13.258427,-48.754940
11.481377,-13.404494,-49.154934
11.481377,-13.522472,-49.554928
11.481377,-13.657303,-49.954922
11.481377,-13.803371,-50.354916
11.481377,-13.768362,-46.526028
11.481377,-13.858757,-46.826023
11.481377,-13.994350,-47.126019
11.481377,-14.158192,-47.426014
11.481377,-14.299435,-47.726009
11.481377,-14.457627,-48.026005
11.481377,-14.576271,-48.326000
11.481377,-14.694915,-48.625996
11.481377,-14.836158,-48.925991
11.481377,-14.977401,-49.225986
11.481377,-15.152542,-49.525982
11.481377,-15.254237,-49.825977
14.004400,-15.361582,-50.125973
13.904400,-15.323864,-48.926987
13.804399,-15.454545,-49.226982
13.704399,-15.607955,-49.526978
13.604399,-15.738636,-49.826973
13.504398,-15.846591,-50.126968
13.404398,-15.800000,-49.551548
13.304398,-15.942857,-49.851543
13.204397,-16.114286,-50.151539
13.104397,-16.017241,-49.543392
13.004396,-16.143678,-49.843388
12.904396,-16.304598,-50.143383
12.804396,-16.231214,-50.077450
12.704395,-16.186047,-49.540642
12.604395,-16.308140,-49.840637
12.504395,-16.436047,-50.140633
12.404394,-16.374269,-49.096245
12.304394,-16.491228,-49.296242
12.204393,-16.672515,-49.496239
12.104393,-16.771930,-49.696236
12.004393,-16.912281,-49.896233
11.904392,-17.064327,-50.096230
11.804392,-16.964706,-49.801357
11.704391,-17.135294,-50.101353
11.604391,-16.857143,-50.213764
11.504391,-16.796407,-50.275406
11.481377,-16.304878,-49.941826
11.481377,-16.439024,-50.241821
11.481377,-16.392638,-49.786602
11.481377,-16.478528,-50.086597
11.481377,-16.376543,-49.957245
