Max,Average,Min
17.897942,6.700000,0.456579
13.704498,5.416667,0.356579
13.604498,5.250000,0.256579
13.504498,4.916667,0.156579
13.404497,4.833333,0.056579
13.304497,4.750000,-0.043421
13.204496,5.272727,0.378053
13.104496,4.909091,0.191500
13.004496,4.727273,-0.008500
12.904495,5.100000,0.078053
12.804495,4.700000,-0.021947
12.704494,5.222222,-0.133887
12.604494,5.750000,1.853264
12.504494,5.625000,1.653264
12.404493,5.375000,1.453264
12.304493,5.375000,1.253264
12.204493,5.375000,1.053264
12.104492,5.000000,0.853264
12.004492,4.875000,0.653264
11.904491,4.750000,0.453264
11.804491,4.250000,0.253264
11.704491,4.250000,0.053264
11.604490,4.125000,-0.146736
11.504490,4.571429,0.034200
11.404490,4.428571,-0.265800
11.304489,5.166667,2.514682
11.204489,5.166667,2.314682
11.104488,5.000000,2.114682
11.004488,4.833333,1.914682
10.904488,4.666667,1.714682
10.804487,4.166667,1.514682
10.704487,4.166667,1.314682
10.604486,4.000000,1.114682
10.504486,3.833333,0.914682
10.404486,3.833333,0.714682
10.304485,3.833333,0.514682
10.204485,3.833333,0.314682
10.104485,3.500000,0.114682
10.004484,3.333333,-0.085318
9.904484,4.000000,0.514682
9.804483,3.600000,0.514682
9.704483,3.600000,0.314682
9.604483,3.400000,0.314682
9.504482,3.400000,0.114682
9.404482,3.400000,0.114682
9.304482,3.200000,-0.085318
9.204481,4.250000,0.186438
9.104481,4.000000,-0.013562
9.004480,5.666667,4.148971
8.904480,5.333333,4.048971
