ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
1;110100100011001110000000101100011111010011110001011111110011;4.453262;0;0;;;;0
2;010001001001011101001101001100011100110110010100001101011010;13.904499;0;0;;;;0
3;101110111101110010011110100001010001111111111111111010001001;3.066112;0;0;;;;0
4;010011010110010110100111100111110000111111011111000010111010;1.791501;0;0;;;;0
5;101101110011010101000110000001000110111000101001001010001010;1.078053;0;0;;;;0
6;111111100010111110000001111010001010001101110101100101100000;9.586438;0;0;;;;0
7;110010111010001111011101000000100100010100100010110110000100;17.997942;0;0;;;;0
8;011101000101000000110110110111011110111000011101011101111111;15.129354;0;0;;;;0
9;111110111000101110110111111100010110110110111100110010100010;7.234195;0;0;;;;0
10;110011110011011010100101000010110111001110011101011110100011;0.556579;0;0;;;;0
1;110100100011001110000000101100011111010011110001011111110011;4.253262;1;0;{115: 1, 854: 1};;;1
2;010001001001011101001101001100011100110110010100001101011010;13.804499;1;0;{1047: 1};;;1
3;101110111101110010011110100001010001111111111111111010001001;2.766112;1;0;{0: 2, 2211: 1};;;1
4;010011010110010110100111100111110000111111011111000010111010;1.591501;1;0;{0: 1, 828: 1};;;1
5;101101110011010101000110000001000110111000101001001010001010;0.978053;1;0;{2259: 1};;;1
6;111111100010111110000001111010001010001101110101100101100000;9.386437;1;0;{0: 1, 324: 1};;;1
9;111110111000101110110111111100010110110110111100110010100010;6.934196;1;0;{717: 1, 2382: 1, 2475: 1};;;1
10;110011110011011010100101000010110111001110011101011110100011;0.456579;1;0;{972: 1};;;1
12;110000111010011101011101000011100000010100011010110110010010;8.948971;0;7;{225: 1};;;1
13;110010101010001111011110000010100111010100100010110110000100;8.948971;0;7;;;;1
14;111001000101000000111110110111001110111000011101011101111111;7.514677;0;8;{223: 1};;;1
15;010101000101000000110111110110011100111100110101111101111111;7.514677;0;8;;;;1
1;110100100011001110000000101100011111010011110001011111110011;4.053262;2;0;{115: 1, 854: 1};{01010111: 1};;2
2;010001001001011101001101001100011100110110010100001101011010;13.704498;2;0;{1047: 1};;;2
3;101110111101110010011110100001010001111111111111111010001001;2.466113;2;0;{0: 2, 2211: 1};{10000011: 1};;2
4;010011010110010110100111100111110000111111011111000010111010;1.391501;2;0;{0: 1, 828: 1};;;2
5;101101110011010101000110000001000110111000101001001010001010;0.878053;2;0;{2259: 1};;;2
6;111111100010111110000001111010001010001101110101100101100000;9.186437;2;0;{0: 1, 324: 1};;;2
9;111110111000101110110111111100010110110110111100110010100010;6.634196;2;0;{717: 1, 2382: 1, 2475: 1};{10100111: 1};;2
10;110011110011011010100101000010110111001110011101011110100011;0.356579;2;0;{972: 1};;;2
12;110000111010011101011101000011100000010100011010110110010010;8.848970;1;7;{167: 1};;;2
13;110010101010001111011110000010100111010100100010110110000100;8.848970;1;7;{0: 1};;;2
14;111001000101000000111110110111001110111000011101011101111111;7.314677;1;8;{223: 1};{10110111: 1};;2
15;010101000101000000110111110110011100111100110101111101111111;7.314677;1;8;{0: 1, 223: 1};;;2
1;110100100011001110000000101100011111010011110001011111110011;3.853262;3;0;{115: 1, 854: 1};{01010111: 1};;3
2;010001001001011101001101001100011100110110010100001101011010;13.604498;3;0;{1047: 1};;;3
3;101110111101110010011110100001010001111111111111111010001001;2.166113;3;0;{0: 2};{10000011: 2};;3
4;010011010110010110100111100111110000111111011111000010111010;1.191501;3;0;{0: 1, 828: 1};;;3
5;101101110011010101000110000001000110111000101001001010001010;0.778053;3;0;{2259: 1};;;3
6;111111100010111110000001111010001010001101110101100101100000;8.986436;3;0;{0: 1, 324: 1};;;3
9;111110111000101110110111111100010110110110111100110010100010;6.334196;3;0;{717: 1, 2382: 1, 2475: 1};;;3
10;110011110011011010100101000010110111001110011101011110100011;0.256579;3;0;{972: 1};;;3
12;110000111010011101011101000011100000010100011010110110010010;8.748970;2;7;{167: 1};;;3
13;110010101010001111011110000010100111010100100010110110000100;8.748970;2;7;{0: 1};;;3
14;111001000101000000111110110111001110111000011101011101111111;7.114677;2;8;{223: 1};{10110111: 1};;3
15;010101000101000000110111110110011100111100110101111101111111;7.114677;2;8;{0: 1, 223: 1};;;3
1;110100100011001110000000101100011111010011110001011111110011;3.653263;4;0;{854: 1};{01000011: 1, 01010111: 1};;4
2;010001001001011101001101001100011100110110010100001101011010;13.504498;4;0;{1047: 1};;;4
3;101110111101110010011110100001010001111111111111111010001001;1.866113;4;0;{0: 2};{10000111: 1};;4
4;010011010110010110100111100111110000111111011111000010111010;0.991500;4;0;{0: 1, 828: 1};;;4
5;101101110011010101000110000001000110111000101001001010001010;0.678053;4;0;{2259: 1};;;4
6;111111100010111110000001111010001010001101110101100101100000;8.786435;4;0;{0: 1, 324: 1};;;4
9;111110111000101110110111111100010110110110111100110010100010;6.034196;4;0;{717: 1, 2475: 1};{01000011: 1, 10010111: 1};;4
10;110011110011011010100101000010110111001110011101011110100011;0.156579;4;0;{972: 1};;;4
12;110000111010011101011101000011100000010100011010110110010010;8.648970;3;7;{167: 1};;;4
13;110010101010001111011110000010100111010100100010110110000100;8.648970;3;7;{0: 1};;;4
14;111001000101000000111110110111001110111000011101011101111111;6.914678;3;8;{223: 1, 2469: 1};;;4
15;010101000101000000110111110110011100111100110101111101111111;6.914678;3;8;{0: 1, 223: 1};;;4
1;110100100011001110000000101100011111010011110001011111110011;3.453263;5;0;{854: 1};{01000011: 1};;5
2;010001001001011101001101001100011100110110010100001101011010;13.404497;5;0;{1047: 1};;;5
3;101110111101110010011110100001010001111111111111111010001001;1.566113;5;0;{0: 2, 2211: 1};;;5
4;010011010110010110100111100111110000111111011111000010111010;0.791500;5;0;{0: 1};{00100111: 1, 01000101: 1};;5
5;101101110011010101000110000001000110111000101001001010001010;0.578053;5;0;{2259: 1};;;5
6;111111100010111110000001111010001010001101110101100101100000;8.586434;5;0;{0: 1, 324: 1};;;5
9;111110111000101110110111111100010110110110111100110010100010;5.734197;5;0;{717: 1, 2475: 1};{10010111: 1};;5
10;110011110011011010100101000010110111001110011101011110100011;0.056579;5;0;{972: 1};;;5
12;110000111010011101011101000011100000010100011010110110010010;8.548969;4;7;{167: 1};;;5
13;110010101010001111011110000010100111010100100010110110000100;8.548969;4;7;{0: 1};;;5
14;111001000101000000111110110111001110111000011101011101111111;6.714678;4;8;{223: 1, 2469: 1};{00010111: 1};;5
15;010101000101000000110111110110011100111100110101111101111111;6.714678;4;8;{0: 1, 223: 1};;;5
1;110100100011001110000000101100011111010011110001011111110011;3.253263;6;0;{854: 1};{01000011: 1};;6
2;010001001001011101001101001100011100110110010100001101011010;13.304497;6;0;{1047: 1};;;6
3;101110111101110010011110100001010001111111111111111010001001;1.366113;6;0;{0: 1, 2211: 1};;;6
4;010011010110010110100111100111110000111111011111000010111010;0.591500;6;0;{0: 1};{00100111: 1};;6
5;101101110011010101000110000001000110111000101001001010001010;0.478053;6;0;{2259: 1};;;6
6;111111100010111110000001111010001010001101110101100101100000;8.386434;6;0;{0: 1, 324: 1};;;6
9;111110111000101110110111111100010110110110111100110010100010;5.434197;6;0;{717: 1, 2382: 1, 2475: 1};;;6
12;110000111010011101011101000011100000010100011010110110010010;8.448969;5;7;{167: 1};;;6
13;110010101010001111011110000010100111010100100010110110000100;8.448969;5;7;{0: 1};;;6
14;111001000101000000111110110111001110111000011101011101111111;6.514678;5;8;{223: 1, 2469: 1};{00010111: 1};;6
15;010101000101000000110111110110011100111100110101111101111111;6.514678;5;8;{0: 1, 223: 1};;;6
1;110100100011001110000000101100011111010011110001011111110011;3.053263;7;0;{854: 1};{01000011: 1};;7
2;010001001001011101001101001100011100110110010100001101011010;13.204496;7;0;{1047: 1};;;7
3;101110111101110010011110100001010001111111111111111010001001;1.166113;7;0;{0: 1, 2211: 1};;;7
4;010011010110010110100111100111110000111111011111000010111010;0.391500;7;0;{0: 1};{00100111: 1};;7
5;101101110011010101000110000001000110111000101001001010001010;0.378053;7;0;{2259: 1};;;7
6;111111100010111110000001111010001010001101110101100101100000;8.186433;7;0;{0: 1, 324: 1};;;7
9;111110111000101110110111111100010110110110111100110010100010;5.134197;7;0;{717: 1, 2382: 1, 2475: 1};{00000111: 1};;7
12;110000111010011101011101000011100000010100011010110110010010;8.348969;6;7;{167: 1};;;7
13;110010101010001111011110000010100111010100100010110110000100;8.348969;6;7;{0: 1};;;7
14;111001000101000000111110110111001110111000011101011101111111;6.514678;6;8;;;;7
15;010101000101000000110111110110011100111100110101111101111111;6.314678;6;8;{0: 1, 223: 1};;;7
1;110100100011001110000000101100011111010011110001011111110011;2.853263;8;0;{854: 1};{01000011: 1};;8
