Max,Average,Min
17.665913,8.400000,0.697785
10.782678,7.000000,0.597785
10.782678,7.000000,0.497785
10.782678,6.916667,0.397785
10.782678,6.916667,0.297785
10.782678,6.583333,0.197785
10.782678,6.333333,0.097785
11.779549,6.666667,-0.002215
11.579548,7.272727,3.940511
11.379547,7.272727,3.740511
11.179546,6.909091,3.540511
15.979546,7.090909,3.340511
10.782678,6.416667,3.140512
10.782678,6.333333,2.940512
10.782678,6.333333,2.740512
10.782678,6.000000,2.540512
10.782678,5.750000,2.340512
10.782678,5.750000,2.140512
10.782678,5.666667,1.940513
10.782678,5.666667,1.740512
10.782678,5.333333,1.540512
10.782678,5.000000,1.340512
10.782678,5.000000,1.140512
10.782678,4.916667,0.940512
10.782678,4.916667,0.740512
10.782678,4.583333,0.540512
10.782678,4.333333,0.340512
10.782678,4.333333,0.140512
10.782678,4.250000,-0.059488
10.782678,4.727273,2.120255
10.782678,4.363636,1.920256
10.782678,4.000000,1.720255
10.782678,4.000000,1.520255
10.782678,4.000000,1.320255
10.782678,4.000000,1.120255
10.782678,3.636364,0.920255
10.782678,3.363636,0.720255
10.782678,3.363636,0.520255
10.782678,3.363636,0.320255
10.782678,3.363636,0.120255
10.782678,3.000000,-0.079745
10.782678,3.000000,-0.014965
10.782678,3.444444,0.432959
10.782678,3.444444,0.232959
10.782678,3.444444,0.032959
10.782678,3.111111,-0.167041
10.782678,4.000000,0.828763
10.782678,4.000000,0.628762
10.782678,4.000000,0.428762
