Max,Average,Min
12.873007,7.800000,3.586545
12.873007,7.800000,3.386545
12.873007,7.600000,3.186545
12.873007,7.500000,2.986545
12.873007,7.400000,2.786546
12.873007,7.300000,2.586546
12.873007,7.200000,2.386546
12.873007,7.100000,2.186546
12.873007,6.900000,1.986546
12.873007,6.700000,1.786546
12.873007,6.600000,1.586546
12.873007,6.600000,1.386546
12.873007,6.500000,1.186546
12.873007,6.300000,0.986546
12.873007,6.200000,0.786546
12.873007,6.100000,0.586546
12.873007,6.000000,0.386546
12.873007,5.900000,0.186546
12.873007,5.700000,-0.013454
12.873007,6.222222,0.540054
12.873007,6.111111,0.340054
12.873007,6.111111,0.140054
12.873007,6.000000,-0.059946
12.873007,6.750000,0.145464
12.873007,6.625000,-0.054536
12.873007,7.571429,4.990236
12.873007,7.428571,4.790236
12.873007,7.428571,4.590236
12.873007,7.428571,4.390236
12.873007,7.142857,4.190237
12.873007,7.000000,3.990237
12.873007,7.000000,3.790237
12.873007,7.000000,3.590237
12.873007,7.000000,3.390237
12.873007,7.000000,3.190238
12.873007,6.714286,2.990238
12.873007,6.571429,2.790238
12.873007,6.571429,2.590238
12.873007,6.571429,2.390238
12.873007,6.428571,2.190238
12.873007,6.142857,1.990239
12.873007,6.142857,1.790238
12.873007,6.142857,1.590238
12.873007,6.142857,1.390238
12.873007,6.142857,1.190238
12.873007,5.857143,0.990238
12.873007,5.714286,0.790238
12.873007,5.714286,0.590238
12.873007,5.714286,0.390238
12.873007,5.571429,0.190238
