Max,Average,Min
17.027468,8.900000,2.756840
14.558540,7.083333,2.656840
14.458540,6.916667,2.556840
14.358540,6.750000,2.456840
14.258539,6.750000,2.356840
14.158539,6.666667,2.256840
14.058538,6.416667,2.156840
13.958538,6.250000,2.056840
13.858538,6.000000,1.956840
13.758537,6.000000,1.856840
13.658537,5.833333,1.756840
13.558537,5.583333,1.656840
13.458536,5.500000,1.556840
13.358536,5.333333,1.456840
13.258535,5.333333,1.356840
13.158535,5.166667,1.256840
13.058535,4.916667,1.156840
12.958534,4.750000,1.056840
12.858534,4.500000,0.956840
12.758533,4.500000,0.856840
12.658533,4.333333,0.756840
12.558533,4.166667,0.656840
12.458532,4.083333,0.556840
12.358532,3.833333,0.456840
12.258532,3.833333,0.356840
12.158531,3.666667,0.256840
12.058531,3.416667,0.156840
11.958530,3.250000,0.056840
11.858530,3.000000,-0.043160
11.758530,3.363636,0.332848
11.658529,3.181818,0.132848
11.558529,3.000000,-0.067152
11.458529,3.300000,-0.056255
11.358528,3.444444,1.385697
11.258528,3.444444,1.185696
11.158527,3.222222,0.985696
11.058527,3.000000,0.785696
10.958527,2.888889,0.585696
10.858526,2.666667,0.385696
10.758526,2.666667,0.185696
10.658525,2.444444,-0.014304
10.558525,3.285714,0.313737
10.458525,3.285714,0.113737
10.358524,3.000000,-0.086263
10.258524,3.666667,0.732522
10.158524,3.666667,0.532522
10.058523,3.166667,0.332522
9.958523,3.000000,0.132522
9.858522,2.833333,-0.067478
9.758522,3.600000,0.608794
