ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
0;110100100001100110110101101100010100001100101110001000101101;6.110010;0;0;;;;0
1;111011100001111110011001111001010000000000111010110011000010;5.993889;0;0;;;;0
2;001001110000110101111100011010001110110101010001101010001000;12.924297;0;0;;;;0
3;001000011110110100010101000111001100110111100111000010001011;6.011175;0;0;;;;0
4;011001110110010000011111001001010011011000111110101101001100;12.514588;0;0;;;;0
5;000100100111000100110001111010011111110011010101111110011000;13.002662;0;0;;;;0
6;000010110011111011111010110011101110101011000110101110001000;7.888950;0;0;;;;0
7;110010100111110001000000101100000000100010000011000010011001;14.061876;0;0;;;;0
8;000111100101000101110110011110111011011100101000000011011000;12.909206;0;0;;;;0
9;101101111010111010011000111110100000101000101011000000011000;5.386642;0;0;;;;0
0;110100100001100110110101101100010100001100101110001000101101;5.910010;1;0;{0: 1, 155: 1};;;1
1;111011100001111110011001111001010000000000111010110011000010;5.893889;1;0;{0: 1};;;1
2;001001110000110101111100011010001110110101010001101010001000;12.824297;1;0;{0: 1};;;1
3;001000011110110100010101000111001100110111100111000010001011;5.811175;1;0;{0: 1, 1420: 1};;;1
4;011001110110010000011111001001010011011000111110101101001100;12.414588;1;0;{286: 1};;;1
5;000100100111000100110001111010011111110011010101111110011000;12.902661;1;0;{0: 1};;;1
6;000010110011111011111010110011101110101011000110101110001000;7.888950;1;0;;;;1
7;110010100111110001000000101100000000100010000011000010011001;14.061876;1;0;;;;1
8;000111100101000101110110011110111011011100101000000011011000;12.909206;1;0;;;;1
9;101101111010111010011000111110100000101000101011000000011000;5.286642;1;0;{1697: 1};;;1
0;110100100001100110110101101100010100001100101110001000101101;5.710011;2;0;{0: 1, 155: 1};;;2
1;111011100001111110011001111001010000000000111010110011000010;5.793889;2;0;{0: 1};;;2
2;001001110000110101111100011010001110110101010001101010001000;12.724297;2;0;{0: 1};;;2
3;001000011110110100010101000111001100110111100111000010001011;5.611176;2;0;{0: 1, 1420: 1};;;2
4;011001110110010000011111001001010011011000111110101101001100;12.314588;2;0;{286: 1};;;2
5;000100100111000100110001111010011111110011010101111110011000;12.802661;2;0;{0: 1};;;2
6;000010110011111011111010110011101110101011000110101110001000;7.888950;2;0;;;;2
7;110010100111110001000000101100000000100010000011000010011001;14.061876;2;0;;;;2
8;000111100101000101110110011110111011011100101000000011011000;12.909206;2;0;;;;2
9;101101111010111010011000111110100000101000101011000000011000;5.186642;2;0;{1697: 1};;;2
0;110100100001100110110101101100010100001100101110001000101101;5.510011;3;0;{0: 1, 155: 1};;;3
1;111011100001111110011001111001010000000000111010110011000010;5.693889;3;0;{0: 1};;;3
2;001001110000110101111100011010001110110101010001101010001000;12.624296;3;0;{0: 1};;;3
3;001000011110110100010101000111001100110111100111000010001011;5.411176;3;0;{0: 1, 1420: 1};;;3
4;011001110110010000011111001001010011011000111110101101001100;12.214587;3;0;{286: 1};;;3
5;000100100111000100110001111010011111110011010101111110011000;12.702661;3;0;{0: 1};;;3
6;000010110011111011111010110011101110101011000110101110001000;7.888950;3;0;;;;3
7;110010100111110001000000101100000000100010000011000010011001;14.061876;3;0;;;;3
8;000111100101000101110110011110111011011100101000000011011000;12.909206;3;0;;;;3
9;101101111010111010011000111110100000101000101011000000011000;5.086642;3;0;{1697: 1};;;3
0;110100100001100110110101101100010100001100101110001000101101;5.310011;4;0;{0: 1, 155: 1};;;4
1;111011100001111110011001111001010000000000111010110011000010;5.593889;4;0;{0: 1};;;4
2;001001110000110101111100011010001110110101010001101010001000;12.524296;4;0;{0: 1};;;4
3;001000011110110100010101000111001100110111100111000010001011;5.211176;4;0;{0: 1, 1420: 1};;;4
4;011001110110010000011111001001010011011000111110101101001100;12.114587;4;0;{286: 1};;;4
5;000100100111000100110001111010011111110011010101111110011000;12.602660;4;0;{0: 1};;;4
6;000010110011111011111010110011101110101011000110101110001000;7.888950;4;0;;;;4
7;110010100111110001000000101100000000100010000011000010011001;14.061876;4;0;;;;4
8;000111100101000101110110011110111011011100101000000011011000;12.909206;4;0;;;;4
9;101101111010111010011000111110100000101000101011000000011000;4.986642;4;0;{1697: 1};;;4
0;110100100001100110110101101100010100001100101110001000101101;5.110011;5;0;{0: 1, 155: 1};;;5
1;111011100001111110011001111001010000000000111010110011000010;5.493889;5;0;{0: 1};;;5
2;001001110000110101111100011010001110110101010001101010001000;12.424295;5;0;{0: 1};;;5
3;001000011110110100010101000111001100110111100111000010001011;5.011176;5;0;{0: 1, 1420: 1};;;5
4;011001110110010000011111001001010011011000111110101101001100;12.014586;5;0;{286: 1};;;5
5;000100100111000100110001111010011111110011010101111110011000;12.502660;5;0;{0: 1};;;5
6;000010110011111011111010110011101110101011000110101110001000;7.888950;5;0;;;;5
7;110010100111110001000000101100000000100010000011000010011001;14.061876;5;0;;;;5
8;000111100101000101110110011110111011011100101000000011011000;12.909206;5;0;;;;5
9;101101111010111010011000111110100000101000101011000000011000;4.886642;5;0;{1697: 1};;;5
