ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
0;100010111001000001110110100100001000001011101110110111110100;8.038241;0;0;;;;0
1;000010101000001001001111010110100011111011101110011110111000;16.992136;0;0;;;;0
2;011110001000110000111000110000000011011000100101000011111001;14.907287;0;0;;;;0
3;010000110011101110010110001000001110010001101110000100011001;6.107451;0;0;;;;0
4;000111100100101100001100011100110101111000011100010110111110;7.482373;0;0;;;;0
5;100111110101110100100101111101011000001111111000100111100110;10.766809;0;0;;;;0
6;111000100101101100110011101001011100000100011000001010000011;0.765365;0;0;;;;0
7;001000111110001010100110110001101101110100100011001011111100;0.698600;0;0;;;;0
8;111000000101000100111111010100111100000100011011100101001010;7.494873;0;0;;;;0
9;011100000100110011000001100100010010110110000100000101101101;13.219048;0;0;;;;0
0;100010111001000001110110100100001000001011101110110111110100;7.938241;1;0;{2490: 1};;;1
2;011110001000110000111000110000000011011000100101000011111001;14.807286;1;0;{322: 1};;;1
3;010000110011101110010110001000001110010001101110000100011001;6.107451;1;0;;;;1
4;000111100100101100001100011100110101111000011100010110111110;7.482373;1;0;;;;1
5;100111110101110100100101111101011000001111111000100111100110;10.566808;1;0;{914: 1, 1047: 1};;;1
6;111000100101101100110011101001011100000100011000001010000011;0.665365;1;0;{1145: 1};;;1
7;001000111110001010100110110001101101110100100011001011111100;0.698600;1;0;;;;1
8;111000000101000100111111010100111100000100011011100101001010;7.294873;1;0;{223: 1, 255: 1};;;1
9;011100000100110011000001100100010010110110000100000101101101;13.119047;1;0;;{11001111: 1};;1
11;000011111100001001001111000110100010111011101110011110111000;8.396068;0;0;{854: 1};;;1
12;000111100001011001001111011111100011111111101110011110111000;8.396068;0;0;{2133: 1};;;1
0;100010111001000001110110100100001000001011101110110111110100;7.838242;2;0;{2490: 1};;;2
2;011110001000110000111000110000000011011000100101000011111001;14.707286;2;0;{322: 1};;;2
3;010000110011101110010110001000001110010001101110000100011001;6.107451;2;0;;;;2
4;000111100100101100001100011100110101111000011100010110111110;7.482373;2;0;;;;2
5;100111110101110100100101111101011000001111111000100111100110;10.466807;2;0;{1047: 1};;;2
6;111000100101101100110011101001011100000100011000001010000011;0.565365;2;0;{1145: 1};;;2
7;001000111110001010100110110001101101110100100011001011111100;0.698600;2;0;;;;2
8;111000000101000100111111010100111100000100011011100101001010;7.094873;2;0;{223: 1, 255: 1};{00101100: 1};;2
9;011100000100110011000001100100010010110110000100000101101101;13.019047;2;0;;{11001111: 1};;2
11;000011111100001001001111000110100010111011101110011110111000;8.196067;1;0;{0: 1, 854: 1};;;2
12;000111100001011001001111011111100011111111101110011110111000;8.196067;1;0;{854: 1};{01001111: 1};;2
0;100010111001000001110110100100001000001011101110110111110100;7.738242;3;0;{2490: 1};;;3
