Max,Average,Min
16.792135,8.000000,0.665365
14.707286,7.272727,0.565365
14.607285,6.909091,0.465365
14.507285,6.909091,0.365365
14.407285,6.818182,0.265365
14.307284,6.818182,0.165365
14.207284,6.818182,0.065365
14.107284,6.454545,-0.034635
14.007283,7.200000,0.698600
13.907283,7.100000,0.698600
13.807282,7.000000,0.698600
13.707282,6.900000,0.698600
13.607282,6.500000,0.698600
13.507281,6.500000,0.698600
13.407281,6.500000,0.698600
13.307281,6.500000,0.698600
13.207280,6.400000,0.698600
13.107280,6.100000,0.698600
13.007279,6.100000,0.698600
12.907279,6.000000,0.698600
12.807279,5.900000,0.698600
12.707278,5.900000,0.698600
12.607278,5.400000,0.698600
12.507277,5.400000,0.698600
12.407277,5.400000,0.698600
12.307277,5.400000,0.698600
12.207276,5.400000,0.698600
12.107276,5.000000,0.698600
12.007276,5.000000,0.698600
11.907275,4.900000,0.698600
11.807275,4.800000,0.698600
11.707274,4.800000,0.698600
11.607274,4.400000,0.698600
11.507274,4.300000,0.694877
11.407273,4.300000,0.494877
11.307273,4.300000,0.294877
11.207273,4.300000,0.094877
11.107272,4.000000,-0.105123
11.007272,4.555556,0.698600
10.907271,4.444444,0.596072
10.807271,4.222222,0.396072
10.707271,4.222222,0.196072
10.607270,3.888889,-0.003928
10.507270,5.285714,0.698600
10.407269,5.285714,0.698600
10.307269,5.142857,0.698600
10.207269,5.142857,0.698600
10.107268,5.142857,0.698600
10.007268,5.142857,0.698600
9.907268,5.000000,0.698600
