Max,Average,Min
17.750498,7.853333,0.248255
14.801196,6.975904,0.048255
14.801196,6.831325,-0.151745
14.801196,6.751515,-0.389019
14.801196,6.664634,-0.228529
14.801196,6.558282,-0.335234
14.801196,6.540373,-0.007684
14.801196,6.431250,-0.255403
14.801196,6.414013,-0.005146
14.801196,6.346154,-0.274368
14.801196,6.193548,-0.077309
14.801196,6.183007,-0.090518
14.801196,6.241611,0.032375
14.801196,6.114094,-0.067625
14.801196,6.074830,-0.164935
16.263809,6.048276,-0.038708
14.801196,5.924138,-0.092293
14.801196,5.985915,-0.091286
14.801196,5.893617,-0.039444
14.801196,5.807143,-0.071170
14.801196,5.661871,-0.190957
14.801196,5.664234,0.227837
14.801196,5.532847,0.127837
14.801196,5.408759,-0.069428
14.801196,5.385185,-0.017925
14.801196,5.276119,-0.169910
14.801196,5.265152,-0.107896
16.531900,5.276923,0.080033
14.801196,5.083969,-0.019967
14.801196,5.000000,-0.298685
14.801196,5.154472,-0.190904
14.801196,5.200000,-0.319428
14.801196,5.194915,-0.096345
14.801196,5.189655,-0.133880
14.801196,5.113043,-0.096703
14.801196,5.061404,0.014203
14.801196,4.947368,-0.185797
14.801196,4.919643,0.304948
14.801196,4.794643,0.104948
14.801196,4.705357,-0.095052
14.801196,4.669725,-0.130121
14.801196,4.629630,-0.183715
14.801196,4.750000,-0.079032
14.801196,4.764706,-0.192829
14.801196,4.818182,0.075251
14.801196,4.707071,-0.124749
14.801196,4.752577,-0.191655
14.801196,4.687500,-0.127832
14.801196,4.621053,0.020968
14.801196,4.536842,-0.179032
14.801196,4.425532,-0.190970
14.801196,4.489130,0.074610
14.801196,4.413043,-0.025390
14.801196,4.455556,-0.128349
14.801196,4.382022,-0.136710
14.801196,4.363636,0.131910
14.801196,4.295455,-0.068090
14.801196,4.241379,0.231027
14.801196,4.114943,0.131027
14.801196,4.034483,0.031027
14.801196,3.873563,-0.068973
14.801196,3.895349,-0.000292
14.801196,3.882353,-0.163428
14.801196,3.869048,0.020977
14.801196,3.750000,-0.179023
14.801196,3.780488,0.005160
14.801196,3.719512,-0.094840
14.801196,3.679012,-0.131805
14.801196,3.670886,-0.162330
14.801196,3.840000,-0.134045
14.801196,3.729730,-0.184062
14.801196,3.833333,-0.190799
14.801196,3.928571,-0.042729
14.801196,4.029412,0.006581
14.801196,3.926471,-0.093419
14.801196,3.925373,-0.056283
14.801196,4.046154,0.029140
14.801196,3.953846,-0.070860
14.801196,4.080645,-0.095052
14.801196,4.288136,0.037955
14.801196,4.118644,-0.062045
14.801196,4.472727,0.024927
14.801196,4.454545,-0.075073
14.801196,4.481481,-0.031588
14.801196,4.471698,-0.096001
14.801196,4.857143,-0.070491
14.801196,4.937500,0.114478
14.801196,4.875000,0.014478
14.801196,4.812500,-0.085522
14.801196,5.000000,0.027782
14.801196,4.847826,-0.072218
14.801196,5.113636,0.178457
14.801196,5.113636,0.078457
14.801196,5.045455,-0.021543
14.801196,5.162791,0.017138
14.801196,5.116279,-0.082862
14.801196,5.238095,-0.034748
14.801196,5.292683,0.077165
14.801196,5.219512,-0.022835
14.801196,5.300000,0.875175
14.801196,5.175000,0.875175
14.801196,5.175000,0.865955
14.801196,5.175000,0.765955
14.801196,5.125000,0.665955
14.801196,5.100000,0.565955
14.801196,5.075000,0.465955
14.801196,5.075000,0.365955
14.801196,4.975000,0.265955
14.801196,4.950000,0.165955
14.801196,4.875000,0.065955
14.801196,4.750000,-0.034045
14.801196,5.026316,0.397720
14.801196,5.026316,0.297720
14.801196,4.973684,0.197720
14.801196,4.947368,0.097720
14.801196,4.921053,-0.002280
14.801196,5.081081,0.008134
14.801196,4.972973,-0.091866
14.801196,5.470588,0.436706
14.801196,5.382353,0.336706
14.801196,5.294118,0.236706
14.801196,5.294118,0.136706
14.801196,5.294118,0.036706
14.801196,5.235294,-0.063294
14.801196,5.393939,0.216285
14.801196,5.393939,0.116285
14.801196,5.393939,0.116285
14.801196,5.393939,0.016285
14.801196,5.363636,0.016285
14.801196,5.212121,-0.083715
14.801196,5.516129,-0.010185
14.801196,5.733333,0.255261
14.801196,5.733333,0.155261
14.801196,5.700000,0.055261
14.801196,5.666667,-0.044739
14.801196,5.896552,0.264993
14.801196,5.896552,0.164993
14.801196,5.896552,0.064993
14.801196,5.862069,-0.035007
14.801196,6.000000,0.056538
14.801196,5.928571,-0.043462
14.801196,6.461538,0.174546
14.801196,6.461538,0.074546
14.801196,6.423077,-0.025454
14.801196,6.720000,0.419867
14.801196,6.720000,0.319867
14.801196,6.720000,0.219867
14.801196,6.720000,0.119867
14.801196,6.720000,0.019867
14.801196,6.600000,-0.080133
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
14.801196,7.636364,0.875175
