ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
0;110001000000100101011011000001101100010110010110101101011110;12.384521;0;0;;;;0
1;011010000011111010111110111101001110100110010110110100011110;7.821254;0;0;;;;0
2;011111000101011011101110110001011011100001011101010011100110;3.808316;0;0;;;;0
3;100011101010111000001010000100110001011000001100101011011001;6.828988;0;0;;;;0
4;100111100001011110111101111110111101101111010100011011001001;8.649463;0;0;;;;0
5;100101111111010011110100011100111000100100010010111111011001;16.604448;0;0;;;;0
6;110110001101111010011101100111111111010110111000010001110010;14.057763;0;0;;;;0
7;111111000010100111000011011010100111101110000011011101011011;3.527077;0;0;;;;0
8;100101100100000011100110000110100111000100111101000100110101;3.724781;0;0;;;;0
9;110111100110100001101000101010010001101001111110001101001100;8.504616;0;0;;;;0
0;110001000000100101011011000001101100010110010110101101011110;12.284520;1;0;{689: 1};;;1
1;011010000011111010111110111101001110100110010110110100011110;7.721254;1;0;;{11000111: 1};;1
2;011111000101011011101110110001011011100001011101010011100110;3.508316;1;0;{1860: 1, 2083: 1};{01011011: 1};;1
3;100011101010111000001010000100110001011000001100101011011001;6.828988;1;0;;;;1
4;100111100001011110111101111110111101101111010100011011001001;8.449462;1;0;{1445: 1, 2695: 1};;;1
6;110110001101111010011101100111111111010110111000010001110010;13.757762;1;0;{0: 2, 1035: 1};;;1
7;111111000010100111000011011010100111101110000011011101011011;3.427077;1;0;{713: 1};;;1
8;100101100100000011100110000110100111000100111101000100110101;3.724781;1;0;;;;1
9;110111100110100001101000101010010001101001111110001101001100;8.304615;1;0;{774: 1, 906: 1};;;1
11;100101111111011011110100011100101000100100010010111111011011;8.302224;0;0;;;;1
12;100101101011011011111100011100111000100000010011111111011001;8.302224;0;0;;;;1
0;110001000000100101011011000001101100010110010110101101011110;12.184520;2;0;{689: 1};;;2
1;011010000011111010111110111101001110100110010110110100011110;7.621254;2;0;;{11000111: 1};;2
2;011111000101011011101110110001011011100001011101010011100110;3.508316;2;0;;;;2
3;100011101010111000001010000100110001011000001100101011011001;6.828988;2;0;;;;2
4;100111100001011110111101111110111101101111010100011011001001;8.249461;2;0;{1445: 1, 2695: 1};{10010111: 1};;2
6;110110001101111010011101100111111111010110111000010001110010;13.457761;2;0;{0: 2, 1035: 1};;;2
7;111111000010100111000011011010100111101110000011011101011011;3.327077;2;0;{713: 1};;;2
8;100101100100000011100110000110100111000100111101000100110101;3.724781;2;0;;;;2
9;110111100110100001101000101010010001101001111110001101001100;8.104614;2;0;{774: 1, 906: 1};;;2
11;100101111111011011110100011100101000100100010010111111011011;8.302224;1;0;;;;2
12;100101101011011011111100011100111000100000010011111111011001;8.302224;1;0;;;;2
0;110001000000100101011011000001101100010110010110101101011110;12.084519;3;0;{689: 1};;;3
