ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
4;000111110000100001011001101000110100000001100110110000111100;11.790780;6;0;;;;6
5;101010100001011000110100010011011010000010110010000010000100;10.876026;6;0;{8: 1};;;6
6;110111100111100010111111001110001010111111011011011000101111;11.276252;6;0;{0: 1, 851: 1};{01001101: 1};;6
7;000110010000101000010010111011001100011000110011010000010110;9.168856;6;0;;;;6
8;011000001000001001011001010101011000110001111101100110010011;0.429082;6;0;{1138: 1};;;6
10;100001000000000011110110110001010000011011010111100000100101;6.710599;6;0;{644: 1};;;6
12;111110100111011100101001001001101010010010010010010010111011;8.435895;5;1;{2054: 1};;;6
13;111100110110011101101000001001101110000010000010010100111011;8.435895;5;1;{916: 1};;;6
2;101100000110010100111100000001110001101100000101111110001110;9.263222;7;0;{81: 1};{00001101: 1};;7
3;010000110100001011111000011101001111001110110101000100110111;10.895824;7;0;{0: 1};;;7
4;000111110000100001011001101000110100000001100110110000111100;11.790780;7;0;;;;7
5;101010100001011000110100010011011010000010110010000010000100;10.776026;7;0;{8: 1};;;7
6;110111100111100010111111001110001010111111011011011000101111;10.976251;7;0;{0: 1, 851: 1};{01001101: 1};;7
7;000110010000101000010010111011001100011000110011010000010110;9.168856;7;0;;;;7
8;011000001000001001011001010101011000110001111101100110010011;0.329082;7;0;{1138: 1};;;7
10;100001000000000011110110110001010000011011010111100000100101;6.610599;7;0;{644: 1};;;7
12;111110100111011100101001001001101010010010010010010010111011;8.335895;6;1;{2054: 1};;;7
13;111100110110011101101000001001101110000010000010010100111011;8.335895;6;1;{916: 1};;;7
2;101100000110010100111100000001110001101100000101111110001110;9.163221;8;0;{81: 1};;;8
3;010000110100001011111000011101001111001110110101000100110111;10.795824;8;0;{0: 1};;;8
4;000111110000100001011001101000110100000001100110110000111100;11.790780;8;0;;;;8
5;101010100001011000110100010011011010000010110010000010000100;10.676025;8;0;{8: 1};;;8
6;110111100111100010111111001110001010111111011011011000101111;10.676250;8;0;{0: 1, 851: 1, 1643: 1};;;8
7;000110010000101000010010111011001100011000110011010000010110;9.168856;8;0;;;;8
8;011000001000001001011001010101011000110001111101100110010011;0.229082;8;0;{1138: 1};;;8
10;100001000000000011110110110001010000011011010111100000100101;6.510599;8;0;{644: 1};;;8
12;111110100111011100101001001001101010010010010010010010111011;8.235894;7;1;{2054: 1};;;8
13;111100110110011101101000001001101110000010000010010100111011;8.235894;7;1;{916: 1};;;8
2;101100000110010100111100000001110001101100000101111110001110;9.063221;9;0;{81: 1};;;9
3;010000110100001011111000011101001111001110110101000100110111;10.695824;9;0;{0: 1};;;9
4;000111110000100001011001101000110100000001100110110000111100;11.790780;9;0;;;;9
5;101010100001011000110100010011011010000010110010000010000100;10.576025;9;0;{8: 1};;;9
6;110111100111100010111111001110001010111111011011011000101111;10.576249;9;0;{0: 1};;;9
7;000110010000101000010010111011001100011000110011010000010110;9.168856;9;0;;;;9
8;011000001000001001011001010101011000110001111101100110010011;0.129082;9;0;{1138: 1};;;9
10;100001000000000011110110110001010000011011010111100000100101;6.410599;9;0;{644: 1};;;9
12;111110100111011100101001001001101010010010010010010010111011;8.135894;8;1;{2054: 1};;;9
13;111100110110011101101000001001101110000010000010010100111011;8.135894;8;1;{916: 1};;;9
2;101100000110010100111100000001110001101100000101111110001110;8.963221;10;0;{81: 1};{10100111: 1};;10
3;010000110100001011111000011101001111001110110101000100110111;10.595823;10;0;{0: 1};;;10
4;000111110000100001011001101000110100000001100110110000111100;11.790780;10;0;;;;10
5;101010100001011000110100010011011010000010110010000010000100;10.476025;10;0;{8: 1};;;10
6;110111100111100010111111001110001010111111011011011000101111;10.276248;10;0;{0: 1, 851: 1, 1643: 1};;;10
7;000110010000101000010010111011001100011000110011010000010110;9.168856;10;0;;;;10
8;011000001000001001011001010101011000110001111101100110010011;0.029082;10;0;{1138: 1};;;10
10;100001000000000011110110110001010000011011010111100000100101;6.310599;10;0;{644: 1};;;10
12;111110100111011100101001001001101010010010010010010010111011;8.035893;9;1;{2054: 1};;;10
13;111100110110011101101000001001101110000010000010010100111011;8.035893;9;1;{916: 1};;;10
2;101100000110010100111100000001110001101100000101111110001110;8.863220;11;0;{81: 1};;;11
3;010000110100001011111000011101001111001110110101000100110111;10.495823;11;0;{0: 1};;;11
4;000111110000100001011001101000110100000001100110110000111100;11.790780;11;0;;;;11
5;101010100001011000110100010011011010000010110010000010000100;10.376024;11;0;{8: 1};;;11
6;110111100111100010111111001110001010111111011011011000101111;9.976247;11;0;{0: 1, 851: 1, 1643: 1};{01011001: 1};;11
7;000110010000101000010010111011001100011000110011010000010110;9.168856;11;0;;;;11
10;100001000000000011110110110001010000011011010111100000100101;6.210599;11;0;{644: 1};;;11
12;111110100111011100101001001001101010010010010010010010111011;7.935894;10;1;{2054: 1};;;11
13;111100110110011101101000001001101110000010000010010100111011;7.935894;10;1;{916: 1};;;11
2;101100000110010100111100000001110001101100000101111110001110;8.763220;12;0;{81: 1};{10100011: 1};;12
3;010000110100001011111000011101001111001110110101000100110111;10.395823;12;0;{0: 1};;;12
4;000111110000100001011001101000110100000001100110110000111100;11.790780;12;0;;;;12
5;101010100001011000110100010011011010000010110010000010000100;10.276024;12;0;{8: 1};;;12
6;110111100111100010111111001110001010111111011011011000101111;9.676246;12;0;{0: 1, 851: 1, 1643: 1};{01011001: 1};;12
7;000110010000101000010010111011001100011000110011010000010110;9.168856;12;0;;;;12
10;100001000000000011110110110001010000011011010111100000100101;6.110600;12;0;{644: 1};;;12
12;111110100111011100101001001001101010010010010010010010111011;7.835894;11;1;{2054: 1};;;12
13;111100110110011101101000001001101110000010000010010100111011;7.835894;11;1;{916: 1};{00100011: 1};;12
2;101100000110010100111100000001110001101100000101111110001110;8.663219;13;0;{81: 1};{10100011: 1};;13
3;010000110100001011111000011101001111001110110101000100110111;10.295822;13;0;{0: 1};;;13
4;000111110000100001011001101000110100000001100110110000111100;11.790780;13;0;;;;13
5;101010100001011000110100010011011010000010110010000010000100;10.176023;13;0;{8: 1};;;13
6;110111100111100010111111001110001010111111011011011000101111;9.376245;13;0;{0: 1, 851: 1, 1643: 1};{01011001: 1};;13
7;000110010000101000010010111011001100011000110011010000010110;9.168856;13;0;;;;13
10;100001000000000011110110110001010000011011010111100000100101;6.010600;13;0;{644: 1};;;13
12;111110100111011100101001001001101010010010010010010010111011;7.735894;12;1;{2054: 1};;;13
13;111100110110011101101000001001101110000010000010010100111011;7.735894;12;1;{916: 1};{00100011: 1};;13
2;101100000110010100111100000001110001101100000101111110001110;8.563219;14;0;{81: 1};{10100011: 1};;14
3;010000110100001011111000011101001111001110110101000100110111;10.195822;14;0;{0: 1};;;14
4;000111110000100001011001101000110100000001100110110000111100;11.790780;14;0;;;;14
5;101010100001011000110100010011011010000010110010000010000100;10.076023;14;0;{8: 1};;;14
6;110111100111100010111111001110001010111111011011011000101111;9.076243;14;0;{0: 1, 851: 1, 1643: 1};{01011001: 1};;14
7;000110010000101000010010111011001100011000110011010000010110;9.168856;14;0;;;;14
10;100001000000000011110110110001010000011011010111100000100101;5.910600;14;0;{644: 1};;;14
12;111110100111011100101001001001101010010010010010010010111011;7.635894;13;1;{2054: 1};;;14
13;111100110110011101101000001001101110000010000010010100111011;7.635894;13;1;{916: 1};{00100011: 1};;14
2;101100000110010100111100000001110001101100000101111110001110;8.463219;15;0;;{10100011: 1, 11001011: 1};;15
3;010000110100001011111000011101001111001110110101000100110111;10.095821;15;0;{0: 1};;;15
4;000111110000100001011001101000110100000001100110110000111100;11.790780;15;0;;;;15
5;101010100001011000110100010011011010000010110010000010000100;9.976023;15;0;{8: 1};;;15
6;110111100111100010111111001110001010111111011011011000101111;8.776242;15;0;{0: 1, 851: 1, 1643: 1};{01011001: 1};;15
