Size
150
165
163
161
161
159
159
157
154
154
154
154
152
152
149
148
147
146
146
143
141
141
140
138
136
134
133
131
128
125
124
122
120
116
116
115
112
110
107
106
102
96
93
91
89
88
87
87
86
86
83
81
80
80
80
77
76
75
74
71
70
69
68
66
63
62
60
60
60
59
58
58
58
58
57
57
56
53
52
52
52
51
49
46
43
40
35
34
33
33
33
33
33
32
32
32
32
32
32
32
32
32
32
32
31
31
31
31
31
31
31
29
29
29
28
28
28
28
28
27
27
26
26
26
26
25
25
25
25
25
25
25
25
25
25
24
23
23
23
23
21
21
21
21
21
21
21
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
