ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
1;10000010100111001011110001010111100111001111011100110010100110101111101111000110;3.647252;0;0;;;;0
2;01110100101111001110100100001000101110010110101110111001011011110000110001011110;9.807066;0;0;;;;0
3;11001110010001011000101111000001100001111000111000001100111001110011111000110110;11.569863;0;0;;;;0
4;10111110010001010110000110000111100001011001011101001111111100000111011110011011;15.145334;0;0;;;;0
5;01101000101110011001011110110111101000001111011010111000000110000001010000011101;0.015855;0;0;;;;0
6;11111011011100001110100010011111110000111011001110101011001000110110110011001011;6.085114;0;0;;;;0
7;00010101100000010100000110101101010000001000000101011110000001011101001000101111;0.637866;0;0;;;;0
8;11111010011101100101111000101100110110010000010110011111101110110010011101000100;0.053323;0;0;;;;0
9;10010110000111000111000110011010111101000101011011011111010110010001010111000110;7.557148;0;0;;;;0
10;11011000011111001100000110010101010011000011110010010011101100110111100000111101;15.560415;0;0;;;;0
11;01011100111000101011011110001100011010000111001100011101000010100011011011101011;16.038279;0;0;;;;0
12;10010010110010100100001101111100001010010011111100100100110101111011000100010000;5.029438;0;0;;;;0
13;00101101001000111110110000001000101101001110101110111111000111110101100011100011;4.420766;0;0;;;;0
14;10100001100101110000100100011101000001001100001110100111100101111010100101101100;1.660774;0;0;;;;0
15;01000111100110100110010010000000101010011101111101001000100000010000100000000101;3.745272;0;0;;;;0
16;01001101110101111000010100101011001000100000010100001010011111010001111011000010;6.515841;0;0;;;;0
17;01110001110011100010101010100100101110101110011010111000001001100110100001110001;0.070282;0;0;;;;0
18;10110100010110110110110101111100100010010110010001111100000011101110010111001111;6.947707;0;0;;;;0
19;00100000101001000001110100101111100110111000100000001001011101010000011100000111;11.397901;0;0;;;;0
20;00010001110001000001010111010010011000001110010010100110110110011111100011111011;16.598091;0;0;;;;0
21;00101000111001000011111110100100100001001110110111101000001010000101010110010100;16.400646;0;0;;;;0
22;00000010110001101011101010110100000010101010011100010110111111110110111101110010;17.046532;0;0;;;;0
23;11101010111111111110011000000100111110100111100010101010100000111000111110010101;2.986608;0;0;;;;0
24;11011000110101000101011101001100111010000110101001001001011100000110010110111011;8.755674;0;0;;;;0
25;01110100101100011110001000100011110010011110100010000100000001001111001000110111;2.739599;0;0;;;;0
26;00100101111011011101100101000011110100101101000110100100011101010110010010100101;2.775563;0;0;;;;0
27;11111101011000011101011000101111100010100111011010001010011110011000101101100001;4.580626;0;0;;;;0
28;11110110110110000100100010010011101111011011101110110000000000010101000110001100;12.329037;0;0;;;;0
29;11100000100001111011100101001011010010101000110101111101101000010011011100000101;11.385587;0;0;;;;0
30;00010111110101101000001100010110000100010000110000010111110010110000000001000101;16.805418;0;0;;;;0
31;10000101100001110111100000101100100110100100010111000110101011100110010011110110;8.314422;0;0;;;;0
32;00001011111101010101111101111110101010111111100010110111000000100111010001010011;3.747145;0;0;;;;0
33;11001111000010111111111001101011011001101110011010010000010101001111001000100111;13.996804;0;0;;;;0
34;00111011100000000110001110010001110011111000010111011101010101110111011100110111;15.955685;0;0;;;;0
35;10100001100010111101100110111011100011110001000001011000011100111101101100010110;16.937958;0;0;;;;0
36;10001010011100000000100100011101011010011011010001100010001100010010110100111011;8.249882;0;0;;;;0
37;01000110111110010100100101101011010111011110011011101100001110001000001100101000;2.029611;0;0;;;;0
38;01010001100111011000100000110101010010001100110010110001101000110000010010110000;2.472915;0;0;;;;0
39;01000010110011011011011010000001100010110001001111010100011100100000001011000101;6.829141;0;0;;;;0
40;00100100010101111100011001111000011000100101001110100110010101010110111010000100;0.387747;0;0;;;;0
41;00010000010001111000011000000001001000111100011010101010110111010111101110011000;6.306777;0;0;;;;0
42;11011100010001010100011010101000000000100100110001111000100101111011011100001101;17.200657;0;0;;;;0
43;11110001110011111100110100001000110111010011010111001111110101011011010111100110;8.449763;0;0;;;;0
44;01111001111010011001001000010111110110101111110011001110000011111101100011000011;17.721106;0;0;;;;0
45;10111000001001101100000100000010100101001111110100100101001111001001010000111010;3.883762;0;0;;;;0
