Max,Average,Min
17.835827,8.333333,-0.086336
14.907916,7.530864,-0.099172
14.907916,7.372671,-0.173701
14.907916,7.352201,0.209523
14.907916,7.194969,0.109523
14.907916,7.025157,0.009523
14.907916,6.886792,-0.090477
14.907916,6.853503,-0.167733
14.907916,6.832258,-0.134617
14.907916,6.675325,-0.040472
14.907916,6.581699,-0.069563
14.907916,6.516556,-0.196392
14.907916,6.463087,-0.142400
14.907916,6.378378,-0.269516
14.907916,6.278912,-0.186435
14.907916,6.179310,-0.142392
14.907916,6.090278,0.006446
14.907916,5.965278,-0.186544
14.907916,5.943662,0.010244
14.907916,5.767606,-0.189756
14.907916,5.769784,0.369068
14.907916,5.582734,0.069068
14.907916,5.431655,-0.230932
14.907916,5.340580,0.056019
14.907916,5.224638,-0.143981
14.907916,5.102190,-0.041626
14.907916,4.977941,-0.120222
14.907916,4.925926,-0.285381
14.907916,5.015385,-0.137697
14.907916,4.937500,-0.277449
14.907916,4.928000,0.051018
14.907916,4.776000,-0.148982
14.907916,4.747967,-0.227832
14.907916,4.781513,-0.223740
14.907916,4.777778,0.021180
14.907916,4.615385,-0.278820
14.907916,4.640351,-0.135898
14.907916,4.619469,-0.097073
14.907916,4.663636,0.031806
14.907916,4.509091,-0.168194
14.907916,4.547170,-0.192329
14.907916,4.683168,-0.146465
14.907916,4.744898,0.020915
14.907916,4.602041,-0.179085
14.907916,4.604167,-0.237794
14.907916,4.739130,-0.137697
14.907916,4.755556,-0.109700
14.907916,4.829545,-0.088336
14.907916,4.793103,-0.082085
14.907916,4.880952,-0.087486
14.907916,4.843373,-0.128140
14.907916,4.864198,0.032962
14.907916,4.740741,-0.167038
14.907916,4.833333,-0.044474
14.907916,4.831169,-0.125097
14.907916,4.815789,0.084088
14.907916,4.697368,-0.115912
14.907916,4.746667,0.072493
14.907916,4.666667,-0.110397
14.907916,4.739726,0.014678
14.907916,4.630137,-0.085322
14.907916,4.647887,0.032580
14.907916,4.535211,-0.167420
14.907916,4.594203,0.151819
14.907916,4.536232,0.051819
14.907916,4.449275,-0.048181
14.907916,4.411765,-0.116641
14.907916,4.462687,-0.036316
14.907916,4.484848,0.064320
14.907916,4.393939,-0.110558
14.907916,4.555556,-0.190449
14.907916,4.700000,0.270980
14.907916,4.600000,0.070980
14.907916,4.483333,-0.129020
14.907916,4.542373,0.334175
14.907916,4.491525,0.234175
14.907916,4.372881,0.134175
14.907916,4.372881,0.034175
14.907916,4.322034,-0.065825
14.907916,4.344828,-0.092329
14.907916,4.685185,-0.086441
14.907916,4.660377,-0.028834
14.907916,4.673077,-0.026967
14.907916,4.740000,-0.058972
14.907916,4.937500,0.150268
14.907916,4.875000,0.050268
14.907916,4.750000,-0.049732
14.907916,5.000000,0.084771
14.907916,4.956522,-0.015229
14.907916,5.088889,0.017915
14.907916,5.044444,-0.082085
14.907916,5.045455,-0.036684
14.907916,5.261905,0.188481
14.907916,5.119048,0.088481
14.907916,5.071429,-0.011519
14.907916,5.146341,0.046783
14.907916,5.048780,-0.053217
14.907916,5.200000,0.440662
14.907916,5.175000,0.340662
14.907916,5.175000,0.240662
14.907916,5.150000,0.140662
14.907916,5.050000,0.040662
14.907916,4.975000,-0.059338
14.907916,4.974359,0.092169
14.907916,4.948718,-0.007831
14.907916,5.026316,0.070534
14.907916,4.947368,-0.029466
14.907916,5.108108,0.377292
14.907916,5.081081,0.277292
14.907916,5.081081,0.177292
14.907916,5.054054,0.077292
14.907916,4.945946,-0.022708
14.907916,5.055556,0.007228
14.907916,4.916667,-0.092772
14.907916,5.264706,0.005254
14.907916,5.176471,-0.094746
14.907916,5.500000,-0.011889
14.907916,5.709677,0.377115
14.907916,5.645161,0.277115
14.907916,5.645161,0.177115
14.907916,5.612903,0.077115
14.907916,5.516129,-0.022885
14.907916,5.666667,0.243855
14.907916,5.566667,0.143855
14.907916,5.566667,0.043855
14.907916,5.566667,-0.056145
14.907916,5.724138,0.342947
