Max_Gain,Average_Gain,Total_Gain,Min_Gain
0.000000,-0.153334,-23.000040,-0.400002
0.000000,-0.150000,-24.300045,-0.400002
0.000000,-0.153416,-24.700047,-0.400002
0.000000,-0.150315,-23.900028,-0.400002
0.000000,-0.152830,-24.300032,-0.400002
0.000000,-0.149057,-23.700039,-0.400000
0.000000,-0.153459,-24.400021,-0.400000
0.000000,-0.149682,-23.500023,-0.300001
0.000000,-0.152258,-23.600021,-0.400000
0.000000,-0.152598,-23.500017,-0.400000
0.000000,-0.150980,-23.100010,-0.400000
0.000000,-0.149669,-22.600014,-0.300001
0.000000,-0.148322,-22.100014,-0.400000
0.000000,-0.147297,-21.800018,-0.300001
0.000000,-0.151020,-22.200014,-0.400000
0.000000,-0.151035,-21.900013,-0.400000
0.000000,-0.147222,-21.200012,-0.400000
0.000000,-0.150695,-21.700012,-0.400000
0.000000,-0.147887,-21.000010,-0.400000
0.000000,-0.149296,-21.200008,-0.400000
0.000000,-0.145324,-20.200005,-0.400000
0.000000,-0.147482,-20.500008,-0.400000
0.000000,-0.146043,-20.300005,-0.300001
0.000000,-0.144203,-19.900005,-0.300001
0.000000,-0.145652,-20.100004,-0.400000
0.000000,-0.143796,-19.700006,-0.400000
0.000000,-0.141176,-19.199999,-0.400000
0.000000,-0.142963,-19.300011,-0.300000
0.000000,-0.141538,-18.400002,-0.300000
0.000000,-0.136719,-17.500002,-0.300000
0.000000,-0.136000,-17.000008,-0.300000
0.000000,-0.134400,-16.799999,-0.300000
0.000000,-0.134146,-16.500000,-0.300000
0.000000,-0.128571,-15.300004,-0.300000
0.000000,-0.124786,-14.600003,-0.300000
0.000000,-0.125641,-14.699997,-0.300000
0.000000,-0.122807,-14.000004,-0.300000
0.000000,-0.116814,-13.199998,-0.300000
0.000000,-0.120000,-13.199998,-0.300000
0.000000,-0.124545,-13.699997,-0.300000
0.000000,-0.116038,-12.300001,-0.300000
0.000000,-0.117822,-11.899998,-0.300000
0.000000,-0.113265,-11.100000,-0.300000
0.000000,-0.111224,-10.900000,-0.300000
0.000000,-0.112500,-10.800000,-0.300000
0.000000,-0.105435,-9.700001,-0.300000
0.000000,-0.101111,-9.099998,-0.300000
0.000000,-0.103409,-9.100000,-0.300000
0.000000,-0.096552,-8.399998,-0.300000
0.000000,-0.100000,-8.399999,-0.300000
0.000000,-0.095181,-7.899999,-0.300000
0.000000,-0.093827,-7.599998,-0.200000
0.000000,-0.093827,-7.599999,-0.200000
0.000000,-0.094872,-7.399999,-0.200000
0.000000,-0.094805,-7.299999,-0.200000
0.000000,-0.090789,-6.899998,-0.200000
0.000000,-0.089474,-6.799999,-0.200000
0.000000,-0.092000,-6.899998,-0.200000
0.000000,-0.092000,-6.899999,-0.200000
0.000000,-0.084931,-6.199998,-0.200000
0.000000,-0.089041,-6.500000,-0.200000
0.000000,-0.087324,-6.199998,-0.200000
0.000000,-0.087324,-6.199998,-0.200000
0.000000,-0.085507,-5.899997,-0.200000
0.000000,-0.085507,-5.899998,-0.200000
0.000000,-0.085507,-5.899997,-0.200000
0.000000,-0.083823,-5.699997,-0.200000
0.000000,-0.083582,-5.599997,-0.200000
0.000000,-0.081818,-5.399997,-0.200000
0.000000,-0.081818,-5.399997,-0.200000
0.000000,-0.076190,-4.799997,-0.200000
0.000000,-0.073333,-4.399997,-0.200000
0.000000,-0.073333,-4.399997,-0.200000
0.000000,-0.070000,-4.199997,-0.200000
0.000000,-0.071186,-4.199997,-0.200000
0.000000,-0.071186,-4.199997,-0.200000
0.000000,-0.071186,-4.199997,-0.200000
0.000000,-0.071186,-4.199998,-0.200000
0.000000,-0.071186,-4.199997,-0.200000
0.000000,-0.070690,-4.099998,-0.200000
0.000000,-0.064815,-3.499998,-0.100000
0.000000,-0.067924,-3.599998,-0.200000
0.000000,-0.063461,-3.299998,-0.100000
0.000000,-0.066000,-3.299998,-0.200000
0.000000,-0.062500,-2.999998,-0.100000
0.000000,-0.062500,-2.999998,-0.100000
0.000000,-0.062500,-2.999998,-0.100000
0.000000,-0.060870,-2.799998,-0.100000
0.000000,-0.060870,-2.799998,-0.100000
0.000000,-0.060000,-2.699998,-0.100000
0.000000,-0.060000,-2.699998,-0.100000
0.000000,-0.059091,-2.599998,-0.100000
0.000000,-0.057143,-2.399998,-0.100000
0.000000,-0.057143,-2.399999,-0.100000
0.000000,-0.057143,-2.399999,-0.100000
0.000000,-0.056098,-2.299999,-0.100000
0.000000,-0.056098,-2.299999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.055000,-2.199999,-0.100000
0.000000,-0.053846,-2.099999,-0.100000
0.000000,-0.053846,-2.099999,-0.100000
0.000000,-0.052632,-1.999999,-0.100000
0.000000,-0.050000,-1.899999,-0.100000
0.000000,-0.051351,-1.899999,-0.100000
0.000000,-0.048649,-1.799999,-0.100000
