ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
1;10111111111101101001000000101111110010000110100010001111001101100100011011100010;0.609523;0;0;;;;0
2;00010001101001011110100001111111111110100000001110110111001001111001011100011101;12.543867;0;0;;;;0
3;11110111100000110011101011000011110010101101011110111111001011001110100110001111;2.366545;0;0;;;;0
4;11001100101011011111111000011011011101111000011110011101110111111110100000000101;3.845091;0;0;;;;0
5;01101000100011010011110001010001101100001000011110000010101010011100011011111001;1.979719;0;0;;;;0
6;00100101101001110000101111101110001101110111111011001001000010000111101110001011;7.301050;0;0;;;;0
7;11001011001110100110101100110001010000010110111101110011011100010110001100101011;9.163315;0;0;;;;0
8;11100011001010001111100110001001000001100000000011000110110101111111110001011000;9.336360;0;0;;;;0
9;10001011111100010101111101000000101110011101100111001011001101000111001011001011;2.983897;0;0;;;;0
10;11010000110011111011010101110100011111110000100010100100000000000110100111111001;7.831800;0;0;;;;0
11;11111110101100000100111100001001101100110111110011111101111100111010110011011001;3.930482;0;0;;;;0
12;00101001101111110101110111101001111001111101111101001110101010110001110001110001;6.669064;0;0;;;;0
13;11110011000110011100111001011110001011011101000011000010101001011101011011100111;17.429234;0;0;;;;0
14;11001000111011110011100010010100011101011111101011100110110011101100001011100101;11.284095;0;0;;;;0
15;11001110101111010101010011110011110011010101000101010011110001100111101101100010;2.773272;0;0;;;;0
16;11111011000000101001110100100111010101010000010111100110000000100001111101001000;9.912516;0;0;;;;0
17;01100101110011010011010111100000111110101100110101010111101100100010010100111000;3.522403;0;0;;;;0
18;10011000110111101101101101010010100100001001010010000101110100111010110011100010;7.913174;0;0;;;;0
19;01110101000101001010010001000001110111100101001010001011001111001010011101101001;5.486111;0;0;;;;0
20;11100101011001000101111011100110000100111100101011100011100001100100111100111011;1.513547;0;0;;;;0
21;00011010100001010101001011100010101111000101100010110110111000000110110000110010;16.446056;0;0;;;;0
22;01011100101011000100110010101111011001110000110011101110001001100000000011000111;12.177125;0;0;;;;0
23;10001011110100111001000010111100000011101010011001001110001110100110011011010001;11.185909;0;0;;;;0
24;00100000111111011001100100110011100111101111100010001000000001001011100110010001;4.085048;0;0;;;;0
25;01101010101101011010011001100011110001000000110000101001100011001010100010111110;8.455630;0;0;;;;0
26;00011111011101101001101111111001110000001010111010011000111110101001010011101000;8.650265;0;0;;;;0
27;01010001111110010110000111000001111011011010100101110011001111101101111110001001;13.341043;0;0;;;;0
28;00101001010000100111111011000010001000100011111100100111010010010100001111000100;14.355051;0;0;;;;0
29;01101100000001011010110111001011110000110111010110110100110101001111000111100101;8.348699;0;0;;;;0
30;01001111000100100110100001101101000000101111010111111011010110110011011110101100;1.430437;0;0;;;;0
31;10001101110011101011110101110001010010100110110101000010001001011010011111111011;10.874908;0;0;;;;0
32;11011011001110011100010011010101110010000010110101100101101001001010000100110101;13.042961;0;0;;;;0
33;10001001011010100110100110101100000011011000000001111111000000011100011100101010;8.596512;0;0;;;;0
34;00010000111101001100101111001110110001011100101000000101011110100010100001100100;8.671596;0;0;;;;0
35;01101011101010011110111100000111110010010110101010110111101001111011111010001001;9.114827;0;0;;;;0
36;00011011100010100001001110011001001110000001101000110101111101100001110011001001;13.630626;0;0;;;;0
37;00011110011100011100001010111110010110100010110111001010010011011101110011111110;6.014675;0;0;;;;0
38;01110111010100010011001100100001000110101100001001011111100100011011100110010110;10.492173;0;0;;;;0
39;00011001111101000111001001100100011111110111101001001011000011011101000001000111;0.300828;0;0;;;;0
40;01010101110011000000001111011100111001011100110101100011100111111110111111010111;0.589992;0;0;;;;0
41;01010011111110001000111100111110111010111000100110000111110000011011010100101001;3.413455;0;0;;;;0
42;11001110000010111110100010111100100001110101100111101100101001010010011101111010;14.671000;0;0;;;;0
43;11001100100010001011011111111000101000111010100000000101101100110001010110011001;6.310835;0;0;;;;0
44;00101010111011100000100111101011001111001111100000111000100101111010000110011010;7.502923;0;0;;;;0
45;01010000011101000110000111110111110100101100011001111001011110001000110000010000;13.380277;0;0;;;;0
46;11011110100010000110101100011000100010011000010001001000001101111100100110000010;8.722548;0;0;;;;0
47;11011111011100010110010111110010011111110011111000010001000101110001000011001100;9.976262;0;0;;;;0
48;10110011101011011100000101010111110100001110001001001100000010101111111110000000;3.875275;0;0;;;;0
49;00001100101100101100100001010010111101000001000010011011010001100101101101001011;4.843576;0;0;;;;0
50;11111010101100100011000111011010000011111000010001101011101000110111010011010110;11.177299;0;0;;;;0
51;01000110100100111000011000011111001110000100100010101001111001110110000001101010;17.935827;0;0;;;;0
52;11001110000010011111001001010100011001000011000111101011100110011100110011111110;9.706482;0;0;;;;0
53;00011011010111101010111000110100001110001110000100111011101100100011111101011111;8.432959;0;0;;;;0
54;00000010100010011000001110010111011111111011111010111010011011001001000001001101;1.060058;0;0;;;;0
55;11010100111110110010010010110000110100000011011110101000111011110110010111010110;14.192314;0;0;;;;0
56;10001001101100100001011100011100001010011100111110001110101010001001000101100100;5.872489;0;0;;;;0
57;00100011000000111100000000000001010000000101100100001001010000001110000001011100;0.614115;0;0;;;;0
58;00000110101001101011010001111100111100110111101110010000110010001101101111010010;11.522398;0;0;;;;0
59;10010111101010011100110100101001110000001101110011111001110101000110011001001011;13.945898;0;0;;;;0
60;01111101011001011010000110100001000110110111000001010111111100110101111101110110;10.225404;0;0;;;;0
61;11000000100111001101010001110001110001010001101001011101011110101101011010110110;10.479049;0;0;;;;0
62;00000100111110100111100111011011011010111010010010011000001001110001110110010001;10.670539;0;0;;;;0
63;00100010101000011110111010110001011000010011001001010010011001111011010011110111;7.423250;0;0;;;;0
64;11101100000000011100011100011011101001000100011010011101011011000100100010110111;11.689611;0;0;;;;0
65;10110111100111010101111010111111000000011010001101110010111111101111101011010010;10.778281;0;0;;;;0
66;11110111001010111101100100000100101010101001010001010011011010011101000111000101;9.488481;0;0;;;;0
67;01010011010010000000101010000100010110001110100011000011001101101010001100001010;7.515004;0;0;;;;0
68;10110100111110110101001111000100001100111110111101101110111010110101101100100100;9.979780;0;0;;;;0
69;10101101000001000101001110000010010011000011011110000111110110100110000001001110;10.183043;0;0;;;;0
70;10010011011010101011001101100101001101001111000010010000011010000010000011000111;10.240665;0;0;;;;0
71;01110011101010001010011100011001101001110001000011001001010110100110100011110010;13.283374;0;0;;;;0
72;01010001110110100110001000000101011110010011100100000110111000100011111100111101;7.084556;0;0;;;;0
73;10110100001011111001000011001011110010011100000010100001111011010101110011000011;13.163698;0;0;;;;0
74;11100011011011011001111001011001010001011000011101010101111101100111111101110111;8.087685;0;0;;;;0
75;00100001110101101010100000000001011010010011010100011000110000001001101100101111;4.536773;0;0;;;;0
76;00001001110011010011110100110100101100111110100011101010100001001111011110100001;6.377698;0;0;;;;0
77;11001110111011101101001100110100110111100010010111001100010111010010000011101010;14.242476;0;0;;;;0
78;01011011000001110111111111001100001110011010011011100100000111011000011001000110;15.264811;0;0;;;;0
79;10111110011010010111000011110101110111110111100100100000011110011111111111101110;16.307060;0;0;;;;0
80;10110001010010111111011011110001000101011000000111111100010110010001101011101101;7.943973;0;0;;;;0
81;01011001101110001111010111100000000001110101010010001101101101001111100110010001;8.596417;0;0;;;;0
82;11001101101000000111110110011011000001100011010101011000100001110001011111110100;4.856017;0;0;;;;0
83;00110001010101100111011011110010101110011111001010000110001000110101000110111101;16.242321;0;0;;;;0
84;01010001110111010011010010111011010100001110101110100100110101101001100000111100;6.651632;0;0;;;;0
85;01101100011110101110010000011001100010100001001111110110010111010110100100101001;6.551815;0;0;;;;0
86;11010010100001001001000001000100110111110110011111110001110000001111100001011011;5.290124;0;0;;;;0
87;01110000101110001110000011100010100100000110010011010111100111001001101100010011;11.688119;0;0;;;;0
88;10011101001001110000110110010100000110001000101001110000011101110100001100101001;14.009568;0;0;;;;0
89;01010101001101111000111111000100101100000111110100111010111000100111110101001100;0.726300;0;0;;;;0
90;00110110011010011111011011100111011101001110111100001110011011000110101000010010;14.339395;0;0;;;;0
91;10111011111110011001010110000100101111100001001101010101000100101101111000100000;3.810243;0;0;;;;0
92;11100010000011101001111000000110110110011010110100101110100000101010101011011010;16.724598;0;0;;;;0
93;01111100100101101101111011101101110000100010101010011011100001101000010110111000;1.665383;0;0;;;;0
94;10110010010010010100111011101101000010001011010101000000011010000110100010001100;7.758368;0;0;;;;0
95;01111101100010011000110000101101001101100101110111111111011100010110001001000111;13.889459;0;0;;;;0
96;01001111111011110101010011101100100100111011111001110100001010111001100110110110;10.338320;0;0;;;;0
97;10101011001111010111111010000011101000001011111000001010001010100111111011010000;15.815333;0;0;;;;0
98;00011110000000000000111010111101001000100010100100000001111111110001111101000110;9.792443;0;0;;;;0
