ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
0;000001011011000101111011111000011111000101111101100001101110;6.138905;0;0;;;;0
1;001100011000011110000111001000000011110001011101110010010011;8.983352;0;0;;;;0
2;000011111010000111011110000110111100010011010001001101100010;14.237260;0;0;;;;0
3;100000101001000111000001010111111010110011101011010001011010;10.238276;0;0;;;;0
4;000100010000100101011001100001010101110101011110011100001101;13.603653;0;0;;;;0
5;101000011011110001110000010001101111010001101100111110111110;4.795452;0;0;;;;0
6;100100101111001011100011111100100111111010101110000100001100;15.227929;0;0;;;;0
7;011100111101100001001010101100101101110110010110100000101010;12.871033;0;0;;;;0
8;100001000010110010101110110100010111001101100101100110001010;14.794528;0;0;;;;0
9;010110110001011111111010000101011010110111101111101100111010;9.767413;0;0;;;;0
0;000001011011000101111011111000011111000101111101100001101110;5.938905;1;0;{0: 1, 1312: 1};;;1
1;001100011000011110000111001000000011110001011101110010010011;8.783351;1;0;;;{1051: 1};1
2;000011111010000111011110000110111100010011010001001101100010;14.037259;1;0;{0: 2};;;1
3;100000101001000111000001010111111010110011101011010001011010;10.138275;1;0;{2487: 1};;;1
4;000100010000100101011001100001010101110101011110011100001101;13.503653;1;0;{1709: 1};;;1
5;101000011011110001110000010001101111010001101100111110111110;4.795452;1;0;;;;1
7;011100111101100001001010101100101101110110010110100000101010;12.771032;1;0;{109: 1};;;1
8;100001000010110010101110110100010111001101100101100110001010;14.694528;1;0;{1431: 1};;;1
9;010110110001011111111010000101011010110111101111101100111010;9.567412;1;0;{2002: 1, 2395: 1};;;1
11;110100100111001011100011111100101111111000101110000100001010;7.613965;0;0;;;;1
12;100100101111001010100011110100110111111000101110000110001100;7.613965;0;0;;;;1
0;000001011011000101111011111000011111000101111101100001101110;5.738905;2;0;{0: 1, 1312: 1};;;2
1;001100011000011110000111001000000011110001011101110010010011;8.583350;2;0;;{10010101: 1};{1051: 1};2
2;000011111010000111011110000110111100010011010001001101100010;13.837258;2;0;{0: 2};;;2
3;100000101001000111000001010111111010110011101011010001011010;10.038275;2;0;{2487: 1};;;2
4;000100010000100101011001100001010101110101011110011100001101;13.503653;2;0;;;;2
5;101000011011110001110000010001101111010001101100111110111110;4.795452;2;0;;;;2
7;011100111101100001001010101100101101110110010110100000101010;12.671032;2;0;{109: 1};;;2
8;100001000010110010101110110100010111001101100101100110001010;14.694528;2;0;;;;2
9;010110110001011111111010000101011010110111101111101100111010;9.467412;2;0;{2002: 1};;;2
11;110100100111001011100011111100101111111000101110000100001010;7.513965;1;0;{266: 1};;;2
12;100100101111001010100011110100110111111000101110000110001100;7.613965;1;0;;;;2
0;000001011011000101111011111000011111000101111101100001101110;5.538906;3;0;{0: 1, 1312: 1};;;3
1;001100011000011110000111001000000011110001011101110010010011;8.383349;3;0;;{00111001: 1};{1051: 1};3
2;000011111010000111011110000110111100010011010001001101100010;13.637258;3;0;{0: 2};;;3
3;100000101001000111000001010111111010110011101011010001011010;9.938274;3;0;{2487: 1};;;3
4;000100010000100101011001100001010101110101011110011100001101;13.403652;3;0;;{11000111: 1};;3
5;101000011011110001110000010001101111010001101100111110111110;4.795452;3;0;;;;3
7;011100111101100001001010101100101101110110010110100000101010;12.571032;3;0;{109: 1};;;3
8;100001000010110010101110110100010111001101100101100110001010;14.594527;3;0;{1431: 1};;;3
9;010110110001011111111010000101011010110111101111101100111010;9.267411;3;0;{2002: 1};{10000011: 1};;3
11;110100100111001011100011111100101111111000101110000100001010;7.313965;2;0;{266: 1, 2567: 1};;;3
12;100100101111001010100011110100110111111000101110000110001100;7.613965;2;0;;;;3
0;000001011011000101111011111000011111000101111101100001101110;5.338906;4;0;{0: 1, 1312: 1};;;4
1;001100011000011110000111001000000011110001011101110010010011;8.183349;4;0;;{00111001: 1};{1051: 1};4
2;000011111010000111011110000110111100010011010001001101100010;13.437257;4;0;{0: 2};;;4
3;100000101001000111000001010111111010110011101011010001011010;9.838274;4;0;{2487: 1};;;4
4;000100010000100101011001100001010101110101011110011100001101;13.303652;4;0;;{11000111: 1};;4
5;101000011011110001110000010001101111010001101100111110111110;4.795452;4;0;;;;4
7;011100111101100001001010101100101101110110010110100000101010;12.471031;4;0;{109: 1};;;4
8;100001000010110010101110110100010111001101100101100110001010;14.594527;4;0;;;;4
9;010110110001011111111010000101011010110111101111101100111010;9.067410;4;0;{2002: 1, 2395: 1};;;4
11;110100100111001011100011111100101111111000101110000100001010;7.213965;3;0;{266: 1};{10010111: 1};;4
12;100100101111001010100011110100110111111000101110000110001100;7.613965;3;0;;;;4
0;000001011011000101111011111000011111000101111101100001101110;5.138906;5;0;{0: 1, 1312: 1};;;5
1;001100011000011110000111001000000011110001011101110010010011;7.983348;5;0;;{10110111: 1};{1051: 1};5
2;000011111010000111011110000110111100010011010001001101100010;13.237256;5;0;{0: 2};;;5
3;100000101001000111000001010111111010110011101011010001011010;9.738274;5;0;{2487: 1};;;5
4;000100010000100101011001100001010101110101011110011100001101;13.203651;5;0;;{11000111: 1};;5
5;101000011011110001110000010001101111010001101100111110111110;4.795452;5;0;;;;5
7;011100111101100001001010101100101101110110010110100000101010;12.371031;5;0;{109: 1};{00000011: 1};;5
8;100001000010110010101110110100010111001101100101100110001010;14.494527;5;0;{1431: 1};;;5
9;010110110001011111111010000101011010110111101111101100111010;8.967410;5;0;{2002: 1};;;5
11;110100100111001011100011111100101111111000101110000100001010;7.113965;4;0;{266: 1};{10010111: 1};;5
12;100100101111001010100011110100110111111000101110000110001100;7.613965;4;0;;;;5
0;000001011011000101111011111000011111000101111101100001101110;4.938906;6;0;{0: 1, 1312: 1};;;6
1;001100011000011110000111001000000011110001011101110010010011;7.783349;6;0;;{10011111: 1};{1051: 1};6
2;000011111010000111011110000110111100010011010001001101100010;13.037255;6;0;{0: 2};;;6
3;100000101001000111000001010111111010110011101011010001011010;9.638273;6;0;{2487: 1};;;6
4;000100010000100101011001100001010101110101011110011100001101;13.103651;6;0;{1709: 1};;;6
5;101000011011110001110000010001101111010001101100111110111110;4.795452;6;0;;;;6
7;011100111101100001001010101100101101110110010110100000101010;12.271030;6;0;{109: 1};{00000011: 1};;6
8;100001000010110010101110110100010111001101100101100110001010;14.494527;6;0;;;;6
9;010110110001011111111010000101011010110111101111101100111010;8.767409;6;0;{2002: 1, 2395: 1};;;6
11;110100100111001011100011111100101111111000101110000100001010;7.013965;5;0;{266: 1};{10010111: 1};;6
12;100100101111001010100011110100110111111000101110000110001100;7.613965;5;0;;;;6
0;000001011011000101111011111000011111000101111101100001101110;4.738906;7;0;{0: 1, 1312: 1};;;7
