Max,Average,Min
15.227929,10.400000,4.795452
14.694528,9.272727,4.795452
14.594527,9.181818,4.795452
14.594527,9.181818,4.795452
14.494527,9.000000,4.795452
14.494527,8.909091,4.795452
14.394526,8.727273,4.738906
14.294526,8.727273,4.538907
14.194526,8.545455,4.338907
14.194526,8.454545,4.138907
14.094525,8.272727,3.938907
14.094525,8.181818,3.738907
13.994525,8.000000,3.538908
13.894525,8.000000,3.338908
13.794524,7.818182,3.138908
13.694524,7.636364,2.938908
13.594523,7.545455,2.738908
13.494523,7.545455,2.538908
13.394523,7.454545,2.338909
13.394523,7.272727,2.138909
13.294522,7.181818,1.938909
13.194522,6.909091,1.738909
13.094522,6.818182,1.538909
12.994521,6.727273,1.338909
12.894521,6.545455,1.138909
12.794520,6.454545,0.938909
12.694520,6.363636,0.738909
12.594520,6.272727,0.538909
12.494519,6.181818,0.338909
12.394519,6.000000,0.138909
12.294518,6.000000,-0.061091
12.194518,6.500000,2.513969
12.094518,6.300000,2.313970
11.994517,6.200000,2.183354
11.894517,6.000000,1.983354
11.794517,6.000000,1.783354
11.694516,5.800000,1.583354
11.594516,5.700000,1.383354
11.494515,5.600000,1.183354
11.394515,5.500000,0.983354
11.294515,5.500000,0.783354
11.194514,5.400000,0.583354
11.094514,5.200000,0.383354
10.994514,5.100000,0.183354
10.894513,5.100000,-0.016646
10.794513,5.666667,1.013970
10.694512,5.333333,0.913970
10.594512,5.222222,0.813970
10.494512,5.111111,0.713970
10.394511,5.111111,0.567412
