Max,Average,Min
17.314299,8.800000,1.813667
14.366354,7.166667,1.713667
14.366354,7.083333,1.513667
14.366354,6.750000,1.313666
14.366354,6.666667,1.113666
14.366354,6.583333,0.913666
14.366354,6.416667,0.713666
14.366354,6.333333,0.513666
14.366354,6.166667,0.313666
14.366354,6.000000,0.213666
14.366354,6.000000,0.113666
14.366354,6.000000,0.013666
14.366354,5.833333,-0.086334
14.366354,6.090909,0.196426
14.366354,6.000000,-0.003574
14.366354,6.700000,1.192338
14.366354,6.500000,0.892338
14.366354,6.400000,0.592338
14.366354,6.200000,0.292338
14.366354,6.100000,-0.007662
14.366354,6.888889,1.151785
14.366354,6.888889,1.051785
14.366354,6.777778,0.951785
14.366354,6.444444,0.851785
14.366354,6.444444,0.751785
14.366354,6.444444,0.651785
14.366354,6.333333,0.551785
14.366354,6.222222,0.451785
14.366354,6.000000,0.351785
14.366354,6.000000,0.251785
14.366354,6.000000,0.151785
14.366354,6.000000,0.051785
14.366354,5.888889,-0.048215
14.366354,6.375000,1.980862
14.366354,6.375000,1.780862
14.366354,6.375000,1.580862
14.366354,6.250000,1.380862
14.366354,6.125000,1.180862
14.366354,5.875000,0.980862
14.366354,5.875000,0.780862
14.366354,5.875000,0.580862
14.366354,5.875000,0.380862
14.366354,5.875000,0.180862
14.366354,5.500000,-0.019138
14.366354,7.666667,3.180614
14.366354,7.666667,3.080614
14.366354,7.500000,2.980614
14.366354,7.333333,2.880614
14.366354,7.333333,2.780614
14.366354,7.333333,2.680614
