ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
0;010010111001111110010010101010111110011010110011110111101111;16.471478;0;0;;;;0
1;101010100101111000101011011011111111010011110110110111100101;13.505325;0;0;;;;0
2;100100001011110010000110100110011000111111011111110010000001;7.096962;0;0;;;;0
3;010000000111000110001011000101000100011010100100001011100110;1.025770;0;0;;;;0
4;011010011111100101011110010110000011111001010000111101101001;5.743449;0;0;;;;0
5;100111100111101001101010101010010101111000000001000101111000;14.243361;0;0;;;;0
6;001010001011001000101001111111000010111101111110101110101100;14.872530;0;0;;;;0
7;011001110111100001001111001010100100110011000110100101111110;0.086061;0;0;;;;0
8;111101110010001001110000010111001110111001001010000111111010;13.260067;0;0;;;;0
9;100100001111001000011001110110110000000000001110100111111100;13.652169;0;0;;;;0
1;101010100101111000101011011011111111010011110110110111100101;13.305325;1;0;{0: 1, 2492: 1};;;1
2;100100001011110010000110100110011000111111011111110010000001;6.996963;1;0;{299: 1};;;1
3;010000000111000110001011000101000100011010100100001011100110;0.925770;1;0;{697: 1};;;1
4;011010011111100101011110010110000011111001010000111101101001;5.543449;1;0;{643: 1, 815: 1};;;1
5;100111100111101001101010101010010101111000000001000101111000;14.243361;1;0;;;;1
6;001010001011001000101001111111000010111101111110101110101100;14.772530;1;0;{2593: 1};;;1
8;111101110010001001110000010111001110111001001010000111111010;13.160067;1;0;{2072: 1};;;1
9;100100001111001000011001110110110000000000001110100111111100;13.652169;1;0;;;;1
11;010010111001111110010010100010110111011010110011110111101111;8.185739;0;0;{2618: 1};;;1
12;010001111011110010010010101110111110011010010011110111101111;8.185739;0;0;;;;1
1;101010100101111000101011011011111111010011110110110111100101;13.105324;2;0;{0: 1, 2492: 1};;;2
2;100100001011110010000110100110011000111111011111110010000001;6.896963;2;0;;{00000111: 1, 00100101: 1};;2
3;010000000111000110001011000101000100011010100100001011100110;0.825770;2;0;{697: 1};;;2
4;011010011111100101011110010110000011111001010000111101101001;5.343449;2;0;{643: 1, 815: 1};;;2
5;100111100111101001101010101010010101111000000001000101111000;14.243361;2;0;;;;2
6;001010001011001000101001111111000010111101111110101110101100;14.672529;2;0;{2593: 1};;;2
8;111101110010001001110000010111001110111001001010000111111010;13.060066;2;0;{2072: 1};;;2
9;100100001111001000011001110110110000000000001110100111111100;13.652169;2;0;;;;2
11;010010111001111110010010100010110111011010110011110111101111;8.085738;1;0;{2618: 1};;;2
12;010001111011110010010010101110111110011010010011110111101111;8.185739;1;0;;;;2
1;101010100101111000101011011011111111010011110110110111100101;12.905323;3;0;{0: 1, 2492: 1};;;3
2;100100001011110010000110100110011000111111011111110010000001;6.796963;3;0;;{00000111: 1};;3
3;010000000111000110001011000101000100011010100100001011100110;0.725770;3;0;{697: 1};;;3
4;011010011111100101011110010110000011111001010000111101101001;5.143449;3;0;{643: 1, 815: 1};;;3
5;100111100111101001101010101010010101111000000001000101111000;14.243361;3;0;;;;3
6;001010001011001000101001111111000010111101111110101110101100;14.572529;3;0;{2593: 1};;;3
8;111101110010001001110000010111001110111001001010000111111010;12.960066;3;0;{2072: 1};;;3
9;100100001111001000011001110110110000000000001110100111111100;13.652169;3;0;;;;3
11;010010111001111110010010100010110111011010110011110111101111;7.985738;2;0;{2618: 1};;;3
12;010001111011110010010010101110111110011010010011110111101111;8.185739;2;0;;;;3
1;101010100101111000101011011011111111010011110110110111100101;12.705322;4;0;{0: 1, 2492: 1};;;4
2;100100001011110010000110100110011000111111011111110010000001;6.696963;4;0;{299: 1};;;4
3;010000000111000110001011000101000100011010100100001011100110;0.625770;4;0;{697: 1};;;4
4;011010011111100101011110010110000011111001010000111101101001;4.943449;4;0;{643: 1, 815: 1};;;4
5;100111100111101001101010101010010101111000000001000101111000;14.243361;4;0;;;;4
6;001010001011001000101001111111000010111101111110101110101100;14.472528;4;0;{2593: 1};;;4
8;111101110010001001110000010111001110111001001010000111111010;12.860065;4;0;{2072: 1};;;4
9;100100001111001000011001110110110000000000001110100111111100;13.652169;4;0;;;;4
11;010010111001111110010010100010110111011010110011110111101111;7.885738;3;0;{2618: 1};;;4
12;010001111011110010010010101110111110011010010011110111101111;8.185739;3;0;;;;4
1;101010100101111000101011011011111111010011110110110111100101;12.505322;5;0;{0: 1, 2492: 1};;;5
2;100100001011110010000110100110011000111111011111110010000001;6.596963;5;0;{299: 1};;;5
3;010000000111000110001011000101000100011010100100001011100110;0.525770;5;0;{697: 1};;;5
4;011010011111100101011110010110000011111001010000111101101001;4.743450;5;0;{643: 1, 815: 1};;;5
5;100111100111101001101010101010010101111000000001000101111000;14.243361;5;0;;;;5
6;001010001011001000101001111111000010111101111110101110101100;14.372528;5;0;{2593: 1};;;5
8;111101110010001001110000010111001110111001001010000111111010;12.760065;5;0;{2072: 1};;;5
9;100100001111001000011001110110110000000000001110100111111100;13.652169;5;0;;;;5
11;010010111001111110010010100010110111011010110011110111101111;7.785738;4;0;{2618: 1};;;5
12;010001111011110010010010101110111110011010010011110111101111;8.185739;4;0;;;;5
1;101010100101111000101011011011111111010011110110110111100101;12.305321;6;0;{0: 1, 2492: 1};;;6
2;100100001011110010000110100110011000111111011111110010000001;6.496963;6;0;{299: 1};;;6
3;010000000111000110001011000101000100011010100100001011100110;0.425770;6;0;{697: 1};;;6
4;011010011111100101011110010110000011111001010000111101101001;4.543450;6;0;{643: 1, 815: 1};;;6
5;100111100111101001101010101010010101111000000001000101111000;14.243361;6;0;;;;6
6;001010001011001000101001111111000010111101111110101110101100;14.272528;6;0;{2593: 1};;;6
8;111101110010001001110000010111001110111001001010000111111010;12.660065;6;0;{2072: 1};;;6
9;100100001111001000011001110110110000000000001110100111111100;13.652169;6;0;;;;6
11;010010111001111110010010100010110111011010110011110111101111;7.685739;5;0;{2618: 1};;;6
12;010001111011110010010010101110111110011010010011110111101111;8.185739;5;0;;;;6
1;101010100101111000101011011011111111010011110110110111100101;12.105320;7;0;{0: 1, 2492: 1};;;7
2;100100001011110010000110100110011000111111011111110010000001;6.396963;7;0;{299: 1};{00010011: 1};;7
3;010000000111000110001011000101000100011010100100001011100110;0.325770;7;0;{697: 1};;;7
4;011010011111100101011110010110000011111001010000111101101001;4.343450;7;0;{643: 1, 815: 1};;;7
5;100111100111101001101010101010010101111000000001000101111000;14.243361;7;0;;;;7
6;001010001011001000101001111111000010111101111110101110101100;14.172527;7;0;{2593: 1};;;7
8;111101110010001001110000010111001110111001001010000111111010;12.560064;7;0;{2072: 1};;;7
9;100100001111001000011001110110110000000000001110100111111100;13.652169;7;0;;;;7
11;010010111001111110010010100010110111011010110011110111101111;7.585739;6;0;{2618: 1};;;7
12;010001111011110010010010101110111110011010010011110111101111;8.185739;6;0;;;;7
1;101010100101111000101011011011111111010011110110110111100101;11.905319;8;0;{0: 1, 2492: 1};;;8
2;100100001011110010000110100110011000111111011111110010000001;6.296963;8;0;{299: 1};;;8
3;010000000111000110001011000101000100011010100100001011100110;0.225770;8;0;{697: 1};;;8
4;011010011111100101011110010110000011111001010000111101101001;4.143450;8;0;{643: 1, 815: 1};;;8
5;100111100111101001101010101010010101111000000001000101111000;14.243361;8;0;;;;8
6;001010001011001000101001111111000010111101111110101110101100;14.072527;8;0;{2593: 1};;;8
8;111101110010001001110000010111001110111001001010000111111010;12.460064;8;0;{2072: 1};;;8
9;100100001111001000011001110110110000000000001110100111111100;13.652169;8;0;;;;8
11;010010111001111110010010100010110111011010110011110111101111;7.485739;7;0;{2618: 1};;;8
12;010001111011110010010010101110111110011010010011110111101111;8.185739;7;0;;;;8
