Max,Average,Min
17.770800,7.606667,-0.064352
14.921388,6.514793,-0.015426
14.921388,6.434524,0.009123
14.921388,6.190476,-0.290877
14.921388,6.236364,0.060151
14.921388,6.109091,-0.139849
14.921388,5.963415,-0.172394
14.921388,5.883436,-0.180062
14.921388,5.861635,-0.134221
14.921388,5.746835,-0.206687
14.921388,5.668790,-0.062779
14.921388,5.583333,-0.018950
14.921388,5.496774,-0.069183
14.921388,5.272727,-0.291404
14.921388,5.496599,-0.248593
14.921388,5.397260,-0.236711
14.921388,5.347222,0.063443
14.921388,5.256944,-0.136557
14.921388,5.062937,-0.106334
14.921388,5.144928,-0.070354
14.921388,5.117647,-0.146785
14.921388,5.059259,-0.166551
14.921388,4.955224,-0.186597
14.921388,4.818182,0.277341
14.921388,4.734848,0.077341
14.921388,4.606061,-0.122659
14.921388,4.538462,-0.158881
14.921388,4.764228,-0.128337
14.921388,4.691667,-0.194531
14.921388,4.635593,-0.177821
14.921388,4.655172,-0.134032
14.921388,4.675439,0.015566
14.921388,4.570175,-0.084434
14.921388,4.504505,-0.173370
14.921388,4.574074,0.043749
14.921388,4.444444,-0.256251
14.921388,4.452830,-0.065744
14.921388,4.457143,0.055382
14.921388,4.257143,-0.144618
14.921388,4.163462,-0.171677
14.921388,4.237624,0.119730
14.921388,4.158416,0.019730
14.921388,4.049505,-0.145254
14.921388,4.020408,-0.181321
14.921388,4.511364,-0.152678
14.921388,4.448276,-0.139051
14.921388,4.602410,-0.086372
14.921388,4.634146,0.146948
14.921388,4.500000,-0.053052
14.921388,4.444444,-0.139051
14.921388,4.531646,-0.055662
14.921388,4.474359,-0.193219
14.921388,4.526316,0.036863
14.921388,4.421053,-0.063137
14.921388,4.500000,-0.198095
14.921388,4.569444,-0.080420
14.921388,4.549296,-0.129697
14.921388,4.666667,-0.147427
14.921388,4.602941,-0.094511
14.921388,4.666667,-0.180095
14.921388,4.723077,0.052734
14.921388,4.630769,-0.077927
14.921388,4.714286,-0.055840
14.921388,4.709677,-0.000555
14.921388,4.770492,0.130738
14.921388,4.688525,-0.069262
14.921388,4.716667,0.066986
14.921388,4.683333,-0.133014
14.921388,4.644068,-0.197511
14.921388,4.839286,0.512712
14.921388,4.821429,0.412712
14.921388,4.767857,0.273621
14.921388,4.678571,0.073621
14.921388,4.625000,-0.126379
14.921388,4.690909,0.012712
14.921388,4.618182,-0.087288
14.921388,4.666667,0.007652
14.921388,4.648148,-0.092348
14.921388,4.660377,-0.103696
14.921388,4.653846,0.299593
14.921388,4.634615,0.199593
14.921388,4.576923,0.099593
14.921388,4.500000,-0.000407
14.921388,4.568627,-0.053052
14.921388,4.640000,-0.000636
14.921388,4.812500,-0.004294
14.921388,4.872340,-0.051941
14.921388,5.133333,0.056314
14.921388,5.044444,-0.043686
14.921388,5.333333,-0.057708
14.921388,5.973684,-0.018039
14.921388,6.081081,-0.013608
14.921388,6.194444,-0.097228
14.921388,6.371429,0.576903
14.921388,6.371429,0.484134
14.921388,6.314286,0.384134
14.921388,6.285714,0.284134
14.921388,6.285714,0.184134
14.921388,6.257143,0.084134
14.921388,6.200000,-0.015866
14.921388,6.411765,0.038751
14.921388,6.382353,-0.061249
14.921388,6.515152,0.576903
14.921388,6.484848,0.576903
14.921388,6.484848,0.576903
14.921388,6.424242,0.503565
14.921388,6.393939,0.403565
14.921388,6.393939,0.303565
14.921388,6.363636,0.203565
14.921388,6.333333,0.103565
14.921388,6.333333,0.003565
14.921388,6.303030,-0.096435
14.921388,6.468750,0.217005
14.921388,6.437500,0.117005
14.921388,6.437500,0.017005
14.921388,6.375000,-0.082995
14.921388,6.580645,-0.089501
14.921388,6.833333,0.001163
14.921388,6.800000,-0.098837
14.921388,7.034483,0.261852
14.921388,7.034483,0.161852
14.921388,7.034483,0.061852
14.921388,6.965517,-0.038148
14.921388,7.214286,-0.012048
14.921388,7.518519,0.576903
14.921388,7.481481,0.576903
14.921388,7.481481,0.576903
14.921388,7.481481,0.576903
14.921388,7.481481,0.576903
14.921388,7.444444,0.576903
14.921388,7.444444,0.576903
14.921388,7.444444,0.576903
14.921388,7.407407,0.576903
14.921388,7.407407,0.503815
14.921388,7.407407,0.403815
14.921388,7.370370,0.303815
14.921388,7.370370,0.203815
14.921388,7.370370,0.103815
14.921388,7.370370,0.003815
14.921388,7.333333,-0.096185
14.921388,7.653846,0.133255
14.921388,7.653846,0.033255
14.921388,7.615385,-0.066745
14.921388,7.960000,0.192470
14.921388,7.960000,0.092470
14.921388,7.920000,-0.007530
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
14.921388,8.291667,0.576903
