Max_1s,Index,Binary,Total 1s,Total 0s,Total Elements,Generation
15,75,10011111111101101011,997,1003,2000,0
15,129,10011111111101101011,1766,1754,3520,1
15,21,10011111111101101011,2211,2109,4320,2
15,108,10011111001111111011,2044,1856,3900,3
15,8,10011111001111111011,1277,1083,2360,4
15,15,10011111111101101011,816,544,1360,5
16,5,11011111111101101011,1118,682,1800,6
16,10,11011111111101101011,1990,1130,3120,7
17,67,11111111111101101011,3036,1664,4700,8
17,186,11111111111101101011,3312,1728,5040,9
17,73,11111111111101101011,2683,1277,3960,10
16,63,11101101111111011110,1769,751,2520,11
16,1,11011111110101111011,1035,405,1440,12
16,0,11011111111101101011,1507,613,2120,13
17,152,11011111111111101011,2776,1144,3920,14
17,48,11011111111111101011,3759,1581,5340,15
17,193,11011111111111101011,3425,1435,4860,16
17,59,11011111111111101011,2488,972,3460,17
16,0,11011110111101111011,1391,549,1940,18
17,14,10111111111101111110,1270,450,1720,19
17,31,11111111111101101110,2379,861,3240,20
17,19,11011111111111101011,3567,1353,4920,21
17,151,11011111111111101011,3921,1519,5440,22
17,25,11011111111111101011,3378,1262,4640,23
17,120,11111111111101101011,2451,869,3320,24
17,18,11111111111101101011,1551,529,2080,25
17,12,11111111111101101011,1636,564,2200,26
18,40,11110111111111111011,2942,1018,3960,27
18,164,11110111111111111011,4126,1394,5520,28
18,264,11110111111111111011,4110,1330,5440,29
17,8,10111111111111011110,3152,1028,4180,30
17,30,11011111111101111011,2008,632,2640,31
17,26,11011111111011101111,1081,319,1400,32
17,34,11110111111101111011,1226,374,1600,33
18,157,11011111111111111011,2436,764,3200,34
18,56,11011111111111111011,3816,1244,5060,35
17,80,11111101111101111011,4283,1437,5720,36
17,16,11011011111111101111,3664,1196,4860,37
17,57,11101111111111101011,2014,666,2680,38
16,2,10111111111101111010,713,227,940,39
16,6,10011111111101111011,784,256,1040,40
16,10,10011111111101111011,1499,501,2000,41
17,188,11110111111110111011,2982,1018,4000,42
17,88,11110111111110111011,4404,1516,5920,43
17,42,10011111111101111111,4390,1490,5880,44
17,19,11011111111101111011,3669,1211,4880,45
17,64,10011111111101111111,2047,673,2720,46
17,32,10011111111101111111,880,280,1160,47
17,18,10011111111101111111,1018,302,1320,48
17,33,10011111111101111111,1962,598,2560,49
18,144,11011111111101111111,3400,1040,4440,50
18,44,11011111111101111111,4649,1511,6160,51
18,233,11011111111101111111,4865,1555,6420,52
18,88,11011111111101111111,3388,1032,4420,53
18,81,11011111111101111111,1350,430,1780,54
18,52,11011111111101111111,1069,291,1360,55
18,100,11011111111101111111,2061,579,2640,56
18,0,11011111111101111111,3515,1045,4560,57
18,94,10011111111111111111,4493,1427,5920,58
18,12,11011111111101111111,4563,1417,5980,59
18,84,11111111111101111011,3197,903,4100,60
18,15,10011111111111111111,1649,411,2060,61
19,12,11011111111111111111,1728,412,2140,62
19,18,11011111111111111111,3300,800,4100,63
19,126,11011111111111111111,4654,1106,5760,64
19,23,11011111111111111111,4998,1182,6180,65
19,161,11111111111101111111,5006,1114,6120,66
19,20,11111111111101111111,3503,697,4200,67
19,91,11011111111111111111,2475,465,2940,68
20,141,11111111111111111111,2416,444,2860,69
20,39,11111111111111111111,2906,554,3460,70
20,109,11111111111111111111,3844,736,4580,71
20,9,11111111111111111111,4668,892,5560,72
19,119,11011111111111111111,4899,921,5820,73
19,7,11011111111111111111,4396,804,5200,74
19,7,11011111111111111111,2899,501,3400,75
19,2,11011111111111111111,1964,316,2280,76
19,14,11011111111111111111,2140,380,2520,77
19,30,11011111111111111111,3418,622,4040,78
20,248,11111111111111111111,4582,818,5400,79
20,143,11111111111111111111,5404,996,6400,80
20,35,11111111111111111111,5928,1072,7000,81
19,23,11101111111111111111,4099,701,4800,82
19,9,11011111111111111111,2287,393,2680,83
19,4,11011111111111111111,1445,275,1720,84
19,4,11011111111111111111,2366,514,2880,85
20,75,11111111111111111111,4018,842,4860,86
20,237,11111111111111111111,5029,951,5980,87
20,109,11111111111111111111,5034,906,5940,88
20,9,11111111111111111111,4932,868,5800,89
19,57,11011111111111111111,3234,546,3780,90
19,8,11011111111111111111,2413,387,2800,91
19,0,11011111111111111111,2765,475,3240,92
20,92,11111111111111111111,3497,583,4080,93
20,152,11111111111111111111,4330,670,5000,94
20,50,11111111111111111111,4740,700,5440,95
20,17,11111111111111111111,4111,569,4680,96
20,103,11111111111111111111,3107,393,3500,97
20,3,11111111111111111111,2598,322,2920,98
20,49,11111111111111111111,3180,420,3600,99
