Max_1s,Index,Binary,Total 1s,Total 0s,Total Elements,Generation
15,70,01100011111101111111,914,926,1840,0
15,128,01100011111101111111,1724,1716,3440,1
15,20,01100011111101111111,1938,1902,3840,2
15,30,10101101101111111110,1594,1426,3020,3
16,62,01110011111101111111,1036,824,1860,4
16,50,01110011111101111111,1190,690,1880,5
17,90,01110011111111111111,2069,1071,3140,6
17,203,11100011111111111111,3203,1577,4780,7
17,102,11100011111111111111,3267,1573,4840,8
17,6,01110011111111111111,2551,1209,3760,9
17,31,11011111111101111011,1255,485,1740,10
17,0,10111111111111101011,614,266,880,11
17,0,10111111111111101011,1164,516,1680,12
18,1,10111111111111101111,2158,962,3120,13
19,59,11111111111111101111,3444,1516,4960,14
19,178,11111111111111101111,3514,1506,5020,15
19,40,11111111111111101111,2700,1040,3740,16
19,96,11111111111111101111,2147,713,2860,17
19,125,11111111111111101111,2040,620,2660,18
19,24,11111111111111101111,2530,750,3280,19
19,85,11111111111111101111,3730,1110,4840,20
19,233,11111111111111101111,4150,1110,5260,21
19,111,11111111111111101111,3416,844,4260,22
19,10,11111111111111101111,2611,609,3220,23
18,42,10111111111111101111,1426,334,1760,24
18,5,10111111111111101111,1611,389,2000,25
19,35,11111111111111101111,2987,733,3720,26
19,157,11111111111111101111,4612,1108,5720,27
19,52,11111111111111101111,4830,1110,5940,28
19,39,11111111111111101111,4162,938,5100,29
19,126,11111111111111101111,2561,539,3100,30
19,20,11111111111111101111,2057,423,2480,31
18,4,10111111111111101111,2316,484,2800,32
18,38,10111111111111101111,3361,719,4080,33
19,144,11111111111111011111,4377,943,5320,34
19,44,11111111111111011111,5009,1071,6080,35
18,4,10111111111111101111,4583,957,5540,36
18,30,10111111111111101111,3177,643,3820,37
18,8,10111111111111111011,2453,467,2920,38
19,93,11111111111111101111,2306,454,2760,39
19,144,11111111111111101111,2685,555,3240,40
19,43,11111111111111101111,3960,820,4780,41
19,188,11111111111111101111,4946,974,5920,42
19,66,11111111111111101111,5115,965,6080,43
19,3,11111111111111101111,4319,801,5120,44
19,21,10111111111111111111,2844,536,3380,45
19,99,11111111111111101111,2060,340,2400,46
20,25,11111111111111111111,2059,341,2400,47
20,52,11111111111111111111,3386,574,3960,48
20,188,11111111111111111111,4874,826,5700,49
20,80,11111111111111111111,5822,1018,6840,50
20,238,11111111111111111111,5771,949,6720,51
20,83,11111111111111111111,3881,579,4460,52
20,21,11111111111111111111,2506,334,2840,53
20,22,11111111111111111111,2062,258,2320,54
20,32,11111111111111111111,2955,405,3360,55
20,114,11111111111111111111,4677,643,5320,56
20,14,11111111111111111111,5471,809,6280,57
20,93,11111111111111111111,6003,857,6860,58
20,89,11111111111111111111,5022,658,5680,59
20,0,11111111111111111111,2955,365,3320,60
20,2,11111111111111111111,1574,146,1720,61
20,32,11111111111111111111,1722,198,1920,62
20,22,11111111111111111111,3416,424,3840,63
20,133,11111111111111111111,5276,624,5900,64
20,31,11111111111111111111,6679,801,7480,65
20,4,11111111111111111111,6629,831,7460,66
20,98,11111111111111111111,4445,535,4980,67
20,64,11111111111111111111,2467,293,2760,68
20,34,11111111111111111111,1161,159,1320,69
20,24,11111111111111111111,1461,219,1680,70
20,49,11111111111111111111,2889,471,3360,71
20,163,11111111111111111111,4622,758,5380,72
20,58,11111111111111111111,5668,952,6620,73
20,284,11111111111111111111,6249,1031,7280,74
20,147,11111111111111111111,4854,726,5580,75
19,17,11111111111111111110,2797,403,3200,76
19,15,11111110111111111111,1341,219,1560,77
19,8,11111110111111111111,1338,262,1600,78
19,17,11111110111111111111,2652,548,3200,79
19,93,11111110111111111111,4304,876,5180,80
19,1,11111110111111111111,5438,1122,6560,81
20,199,11111111111111111111,5851,1129,6980,82
20,61,11111111111111111111,4048,712,4760,83
19,0,11111111111111101111,2328,372,2700,84
19,0,11111110111111111111,1414,186,1600,85
19,10,11111111111111101111,1954,286,2240,86
19,8,11111110111111111111,3673,567,4240,87
20,198,11111111111111111111,5440,820,6260,88
20,87,11111111111111111111,6226,954,7180,89
20,298,11111111111111111111,5586,854,6440,90
20,148,11111111111111111111,3420,480,3900,91
20,21,11111111111111111111,1655,225,1880,92
20,0,11111111111111111111,1549,251,1800,93
20,0,11111111111111111111,3083,517,3600,94
20,71,11111111111111111111,4765,855,5620,95
20,251,11111111111111111111,5754,1026,6780,96
20,142,11111111111111111111,5732,1068,6800,97
20,24,11111111111111111111,3662,698,4360,98
19,30,11111111111111101111,1854,346,2200,99
