Generation,Average Energy Gain,Max Energy Gain,Min Energy Gain
0,4.560000,14,4
1,8.978261,14,4
2,6.560000,14,5
3,4.450000,15,5
4,3.280000,15,6
5,5.623656,15,7
6,9.585107,16,3
7,11.220000,16,7
8,5.590000,14,6
9,5.410000,17,9
10,0.230000,13,10
11,3.149425,18,9
12,11.250000,17,7
13,11.142858,17,8
14,11.310000,16,7
15,6.530000,16,7
16,4.760000,17,9
17,4.300000,17,5
18,6.130000,17,8
19,7.830000,16,6
20,11.600000,17,8
21,8.340000,17,9
22,4.000000,16,7
23,4.290000,16,10
24,1.720000,15,9
25,7.113636,16,7
26,12.050000,18,9
27,13.620000,19,7
28,5.960000,16,9
29,7.760000,19,8
30,1.630000,16,9
31,5.590000,18,8
32,7.700000,17,7
33,10.860000,18,8
34,10.330000,18,9
35,9.630000,18,7
36,7.250000,18,10
37,4.290000,18,9
38,4.670000,19,8
39,6.220000,17,10
40,8.010000,17,9
41,12.170000,19,8
42,10.480000,18,9
43,9.420000,18,9
44,5.870000,17,8
45,3.890000,19,9
46,3.660000,17,9
47,6.970000,16,9
48,12.240000,18,10
49,12.510000,19,9
50,10.430000,18,9
51,9.260000,18,9
52,3.070000,17,9
53,4.300000,18,10
54,5.170000,18,10
55,10.380000,17,9
56,13.020000,18,10
57,10.950000,17,9
58,10.300000,18,8
59,4.840000,17,7
60,3.510000,18,11
61,1.910000,17,10
62,7.848837,18,8
63,13.781250,19,9
64,13.900000,19,9
65,11.320000,19,10
66,10.180000,19,10
67,2.610000,16,10
68,2.700000,16,11
69,2.020000,17,11
70,8.575758,19,9
71,13.154762,17,9
72,13.250000,17,8
73,10.550000,18,8
74,12.110000,18,6
75,3.870000,16,11
76,3.340000,18,10
77,1.830000,16,10
78,6.628205,16,9
79,13.250000,17,8
80,13.390000,17,9
81,10.820000,17,9
82,9.930000,19,10
83,2.990000,16,10
84,3.310000,18,10
85,2.970000,19,11
86,9.525000,17,10
87,13.720000,18,10
88,13.490000,18,9
89,8.810000,18,9
90,8.810000,19,10
91,1.480000,16,12
92,2.610000,19,11
93,6.510638,16,10
94,13.244445,19,7
95,12.780000,19,8
96,10.880000,18,8
97,8.920000,18,9
98,2.980000,18,9
99,2.940000,18,10
