Max,Average,Min
14.180697,9.300000,4.089859
14.080697,9.200000,3.989859
13.880696,8.900000,3.889859
13.680696,8.900000,3.789859
13.580695,8.800000,3.689859
13.380694,8.800000,3.589859
13.180694,8.800000,3.489859
12.980693,8.700000,3.389859
12.880692,8.600000,3.289859
12.780692,8.400000,3.189859
12.680692,8.300000,3.089859
12.580691,8.100000,2.989860
12.480691,8.000000,2.889860
12.380691,7.900000,2.789860
12.280690,7.800000,2.689860
12.102712,7.800000,2.589860
12.102712,7.700000,2.489860
12.102712,7.700000,2.370657
12.102712,7.600000,2.170657
12.102712,7.400000,1.970657
12.102712,7.300000,1.770657
12.102712,7.100000,1.570657
12.102712,7.000000,1.370657
12.102712,7.000000,1.170657
12.102712,6.700000,0.970657
12.102712,6.700000,0.770657
12.102712,6.600000,0.570657
12.102712,6.600000,0.370657
12.102712,6.600000,0.170657
12.102712,6.300000,-0.029343
12.102712,7.000000,1.089860
12.102712,6.777778,0.989860
12.102712,6.666667,0.889860
12.102712,6.666667,0.789860
12.102712,6.555556,0.689860
12.102712,6.444444,0.589860
12.102712,6.333333,0.489860
12.102712,6.333333,0.389860
12.102712,6.333333,0.289860
12.102712,6.111111,0.189860
12.102712,6.000000,0.089860
12.102712,5.888889,-0.010140
12.102712,6.500000,0.986767
12.102712,6.500000,0.886767
12.102712,6.500000,0.786767
12.102712,6.375000,0.686767
12.102712,6.375000,0.586767
12.102712,6.375000,0.486767
12.102712,6.250000,0.386767
12.102712,6.000000,0.286767
