Max,Average,Min
16.436268,7.600000,1.527416
13.897811,5.461538,1.527416
13.697810,5.307692,1.369452
13.497809,5.153846,1.069452
13.297809,5.000000,0.769451
13.097808,4.923077,0.469451
12.897807,4.692308,0.169451
12.697806,4.461538,0.069451
12.497806,4.153846,-0.230549
12.297805,4.416667,0.219940
12.097804,4.416667,0.019940
11.897803,4.166667,-0.180060
11.697803,4.454545,0.938683
11.497802,4.272727,0.738683
11.297801,4.181818,0.538683
11.097800,4.090909,0.338683
10.897799,3.909091,0.138683
10.697799,3.636364,-0.061317
10.497798,3.800000,1.022307
10.297797,3.600000,0.922307
10.097796,3.600000,0.822307
9.897796,3.400000,0.722307
9.697795,3.300000,0.622307
9.497794,3.100000,0.522307
9.297793,3.000000,0.422307
9.097793,2.900000,0.322307
8.897792,2.700000,0.222307
8.697791,2.500000,0.118139
8.497790,2.200000,-0.181861
8.297790,2.333333,-0.077693
8.097789,2.750000,1.509704
7.897789,2.625000,1.309703
7.697789,2.500000,1.109703
7.497789,2.250000,0.909703
7.297790,2.125000,0.709703
7.097790,2.125000,0.509703
6.897790,1.875000,0.309703
6.697790,1.625000,0.109703
6.497790,1.375000,-0.090297
6.297791,2.166667,-0.092076
6.097791,2.600000,0.218139
5.897791,2.400000,0.018139
5.697791,2.200000,-0.181861
5.497791,3.000000,1.527416
5.297791,3.000000,1.527416
5.097792,3.000000,1.527416
4.897792,2.500000,1.527416
4.697792,2.250000,1.527416
4.497792,2.250000,1.527416
4.297792,2.250000,1.527416
